index,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,p_value,bonferonni_corrected_p_value,phenotype
GO:0006370,"ENSG00000168002,ENSG00000169612,ENSG00000047315,ENSG00000101654","POLR2G,FAM103A1,POLR2B,RNMT",biological_process,7-methylguanosine mRNA capping,10,4,37,0.00737880401951,0.900214090381,MN
GO:0051260,"ENSG00000067715,ENSG00000163104,ENSG00000166037,ENSG00000008294","SYT1,SMARCAD1,CEP57,SPAG9",biological_process,protein homooligomerization,10,4,161,0.00737880401951,0.900214090381,MN
GO:0030154,"ENSG00000204463,ENSG00000173933,ENSG00000106565,ENSG00000248643,ENSG00000182985,ENSG00000136261","BAG6,RBM4,TMEM176B,RBM14-RBM4,CADM1,BZW2",biological_process,cell differentiation,18,6,461,0.00813499433791,0.992469309226,MN
GO:0007067,"ENSG00000137100,ENSG00000182628,ENSG00000113712,ENSG00000141552,ENSG00000122545","DCTN3,SKA2,CSNK1A1,ANAPC11,SEPT7",biological_process,mitosis,14,5,204,0.00826738177321,1.00862057633,MN
GO:0055086,"ENSG00000198931,ENSG00000114956,ENSG00000178035","APRT,DGUOK,IMPDH2",biological_process,nucleobase-containing small molecule metabolic process,7,3,73,0.00951726160519,1.16110591583,MN
GO:0051403,"ENSG00000173933,ENSG00000115966,ENSG00000248643","RBM4,ATF2,RBM14-RBM4",biological_process,stress-activated MAPK cascade,7,3,58,0.00951726160519,1.16110591583,MN
GO:0016567,"ENSG00000141552,ENSG00000081154,ENSG00000109046,ENSG00000114125,ENSG00000136536,ENSG00000163743","ANAPC11,PCNP,WSB1,RNF7,MARCH7,RCHY1",biological_process,protein ubiquitination,19,6,308,0.0113567486181,1.38552333141,MN
GO:0006511,"ENSG00000114374,ENSG00000143106,ENSG00000182670,ENSG00000204463,ENSG00000078140,ENSG00000102226,ENSG00000077254,ENSG00000154582","USP9Y,PSMA5,TTC3,BAG6,UBE2K,USP11,USP33,TCEB1",biological_process,ubiquitin-dependent protein catabolic process,28,8,196,0.0114738443617,1.39980901212,MN
GO:0001701,"ENSG00000145147,ENSG00000133026,ENSG00000180957,ENSG00000141030","SLIT2,MYH10,PITPNB,COPS3",biological_process,in utero embryonic development,11,4,245,0.0119879954461,1.46253544442,MN
GO:0031175,"ENSG00000078018,ENSG00000134121,ENSG00000164885,ENSG00000133026","MAP2,CHL1,CDK5,MYH10",biological_process,neuron projection development,11,4,91,0.0119879954461,1.46253544442,MN
GO:0017148,"ENSG00000173933,ENSG00000136628,ENSG00000248643,ENSG00000135316","RBM4,EPRS,RBM14-RBM4,SYNCRIP",biological_process,negative regulation of translation,11,4,35,0.0119879954461,1.46253544442,MN
GO:0006366,"ENSG00000032219,ENSG00000125351,ENSG00000047315,ENSG00000168002,ENSG00000141027,ENSG00000116754,ENSG00000115966,ENSG00000101654,ENSG00000154582,ENSG00000115875","ARID4A,UPF3B,POLR2B,POLR2G,NCOR1,SRSF11,ATF2,RNMT,TCEB1,SRSF7",biological_process,transcription from RNA polymerase II promoter,38,10,353,0.0126099953104,1.53841942787,MN
GO:0043066,"ENSG00000092140,ENSG00000164924,ENSG00000126432,ENSG00000134248,ENSG00000134982,ENSG00000114125,ENSG00000114209,ENSG00000085063,ENSG00000070501,ENSG00000196591","G2E3,YWHAZ,PRDX5,LAMTOR5,APC,RNF7,PDCD10,CD59,POLB,HDAC2",biological_process,negative regulation of apoptotic process,38,10,540,0.0126099953104,1.53841942787,MN
GO:0045944,"ENSG00000123562,ENSG00000196591,ENSG00000166477,ENSG00000115966,ENSG00000248643,ENSG00000140395,ENSG00000168214,ENSG00000165119,ENSG00000054118","MORF4L2,HDAC2,LEO1,ATF2,RBM14-RBM4,WDR61,RBPJ,HNRNPK,THRAP3",biological_process,positive regulation of transcription from RNA polymerase II promoter,34,9,771,0.0152415366756,1.85946747442,MN
GO:0031124,"ENSG00000116754,ENSG00000115875,ENSG00000125351","SRSF11,SRSF7,UPF3B",biological_process,mRNA 3'-end processing,8,3,35,0.0169433736912,2.06709159032,MN
GO:0007409,"ENSG00000145147,ENSG00000134982,ENSG00000078018,ENSG00000164885,ENSG00000133026","SLIT2,APC,MAP2,CDK5,MYH10",biological_process,axonogenesis,16,5,107,0.0172221627824,2.10110385946,MN
GO:0006626,"ENSG00000164924,ENSG00000156475,ENSG00000150779,ENSG00000205981","YWHAZ,PPP2R2B,TIMM8B,DNAJC19",biological_process,protein targeting to mitochondrion,12,4,53,0.0182210612511,2.22296947264,MN
GO:0051301,"ENSG00000196504,ENSG00000141552,ENSG00000113712,ENSG00000182628,ENSG00000047849,ENSG00000164885","PRPF40A,ANAPC11,CSNK1A1,SKA2,MAP4,CDK5",biological_process,cell division,21,6,330,0.0203956818561,2.48827318644,MN
GO:0006112,"ENSG00000186469,ENSG00000166562,ENSG00000132639,ENSG00000142875","GNG2,SEC11C,SNAP25,PRKACB",biological_process,energy reserve metabolic process,13,4,116,0.0262664780027,3.20451031634,MN
GO:0006913,"ENSG00000138069,ENSG00000164885,ENSG00000126653","RAB1A,CDK5,NSRP1",biological_process,nucleocytoplasmic transport,9,3,117,0.0271657622142,3.31422299013,MN
GO:0050796,"ENSG00000166562,ENSG00000132639,ENSG00000142875","SEC11C,SNAP25,PRKACB",biological_process,regulation of insulin secretion,9,3,88,0.0271657622142,3.31422299013,MN
GO:0006915,"ENSG00000092140,ENSG00000128463,ENSG00000143106,ENSG00000185627,ENSG00000168002,ENSG00000114209,ENSG00000164885,ENSG00000108294,ENSG00000134982,ENSG00000092010,ENSG00000137776,ENSG00000159352,ENSG00000108848,ENSG00000086666,ENSG00000159593,ENSG00000182985","G2E3,EMC4,PSMA5,PSMD13,POLR2G,PDCD10,CDK5,PSMB3,APC,PSME1,SLTM,PSMD4,LUC7L3,ZFAND6,NAE1,CADM1",biological_process,apoptotic process,76,16,771,0.0314059933549,3.83153118929,MN
GO:0006629,"ENSG00000112972,ENSG00000085719,ENSG00000180957,ENSG00000142875","HMGCS1,CPNE3,PITPNB,PRKACB",biological_process,lipid metabolic process,14,4,228,0.0362659759083,4.42444906082,MN
GO:0055114,"ENSG00000178035,ENSG00000126432,ENSG00000205758,ENSG00000117139,ENSG00000117054,ENSG00000084754,ENSG00000115286,ENSG00000158864,ENSG00000052802","IMPDH2,PRDX5,CRYZL1,KDM5B,ACADM,HADHA,NDUFS7,NDUFS2,MSMO1",biological_process,oxidation-reduction process,39,9,525,0.0387822100358,4.73142962437,MN
GO:0006338,"ENSG00000073584,ENSG00000196591,ENSG00000163104","SMARCE1,HDAC2,SMARCAD1",biological_process,chromatin remodeling,10,3,64,0.0403570676772,4.92356225662,MN
GO:0007411,"ENSG00000133026,ENSG00000092841,ENSG00000134121,ENSG00000077254,ENSG00000077279,ENSG00000145147,ENSG00000164885","MYH10,MYL6,CHL1,USP33,DCX,SLIT2,CDK5",biological_process,axon guidance,29,7,341,0.0415771421472,5.07241134195,MN
GO:0000278,"ENSG00000144744,ENSG00000143106,ENSG00000185627,ENSG00000078674,ENSG00000137100,ENSG00000108294,ENSG00000092010,ENSG00000182628,ENSG00000159352,ENSG00000141552,ENSG00000166037,ENSG00000127914","UBA3,PSMA5,PSMD13,PCM1,DCTN3,PSMB3,PSME1,SKA2,PSMD4,ANAPC11,CEP57,AKAP9",biological_process,mitotic cell cycle,56,12,352,0.0428299714044,5.22525651134,MN
GO:0000086,"ENSG00000078674,ENSG00000166037,ENSG00000127914,ENSG00000137100","PCM1,CEP57,AKAP9,DCTN3",biological_process,G2/M transition of mitotic cell cycle,15,4,126,0.0483110158347,5.89394393184,MN
GO:0006367,"ENSG00000168002,ENSG00000168214,ENSG00000141027,ENSG00000054118,ENSG00000047315","POLR2G,RBPJ,NCOR1,THRAP3,POLR2B",biological_process,transcription initiation from RNA polymerase II promoter,20,5,204,0.0511377544444,6.23880604222,MN
GO:0000122,"ENSG00000139372,ENSG00000141027,ENSG00000168214,ENSG00000101040,ENSG00000196591,ENSG00000126756","TDG,NCOR1,RBPJ,ZMYND8,HDAC2,UXT",biological_process,negative regulation of transcription from RNA polymerase II promoter,25,6,571,0.0512941460905,6.25788582304,MN
GO:0000288,"ENSG00000110367,ENSG00000156976,ENSG00000204392","DDX6,EIF4A2,LSM2",biological_process,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",11,3,65,0.0565679660951,6.90129186361,MN
GO:0007596,"ENSG00000164924,ENSG00000142875,ENSG00000126214,ENSG00000186469,ENSG00000085063,ENSG00000164885,ENSG00000196591","YWHAZ,PRKACB,KLC1,GNG2,CD59,CDK5,HDAC2",biological_process,blood coagulation,31,7,504,0.0594809408838,7.25667478783,MN
GO:0006369,"ENSG00000116754,ENSG00000115875,ENSG00000125351","SRSF11,SRSF7,UPF3B",biological_process,termination of RNA polymerase II transcription,12,3,48,0.0757414185173,9.24045305911,MN
GO:0006418,"ENSG00000134440,ENSG00000146282,ENSG00000136628","NARS,RARS2,EPRS",biological_process,tRNA aminoacylation for protein translation,12,3,56,0.0757414185173,9.24045305911,MN
GO:0042493,"ENSG00000112972,ENSG00000164924,ENSG00000084754,ENSG00000118705","HMGCS1,YWHAZ,HADHA,RPN2",biological_process,response to drug,18,4,307,0.0968863924466,11.8201398785,MN
GO:0050434,"ENSG00000168002,ENSG00000154582,ENSG00000047315","POLR2G,TCEB1,POLR2B",biological_process,positive regulation of viral transcription,13,3,56,0.0977302809677,11.9230942781,MN
GO:0006464,"ENSG00000092140,ENSG00000144744,ENSG00000118705","G2E3,UBA3,RPN2",biological_process,cellular protein modification process,13,3,166,0.0977302809677,11.9230942781,MN
GO:0043065,"ENSG00000145147,ENSG00000134982,ENSG00000068745","SLIT2,APC,IP6K2",biological_process,positive regulation of apoptotic process,13,3,235,0.0977302809677,11.9230942781,MN
GO:0010467,"ENSG00000166562,ENSG00000178982,ENSG00000115875,ENSG00000197111,ENSG00000108294,ENSG00000165119,ENSG00000110367,ENSG00000125351,ENSG00000146282,ENSG00000092010,ENSG00000138668,ENSG00000101654,ENSG00000122566,ENSG00000100664,ENSG00000164924,ENSG00000185627,ENSG00000047315,ENSG00000141027,ENSG00000125944,ENSG00000116754,ENSG00000136628,ENSG00000070785,ENSG00000170889,ENSG00000134440,ENSG00000143106,ENSG00000204392,ENSG00000168002,ENSG00000168214,ENSG00000159352,ENSG00000118705,ENSG00000156976,ENSG00000154582,ENSG00000092199","SEC11C,EIF3K,SRSF7,PCBP2,PSMB3,HNRNPK,DDX6,UPF3B,RARS2,PSME1,HNRNPD,RNMT,HNRNPA2B1,EIF5,YWHAZ,PSMD13,POLR2B,NCOR1,HNRNPR,SRSF11,EPRS,EIF2B3,RPS9,NARS,PSMA5,LSM2,POLR2G,RBPJ,PSMD4,RPN2,EIF4A2,TCEB1,HNRNPC",biological_process,gene expression,195,33,771,0.0997941579082,12.1748872648,MN
GO:0042981,"ENSG00000143106,ENSG00000185627,ENSG00000164885,ENSG00000108294,ENSG00000134982,ENSG00000092010,ENSG00000159352,ENSG00000086666,ENSG00000159593","PSMA5,PSMD13,CDK5,PSMB3,APC,PSME1,PSMD4,ZFAND6,NAE1",biological_process,regulation of apoptotic process,46,9,254,0.101973440879,12.4407597873,MN
GO:0044281,"ENSG00000166562,ENSG00000160752,ENSG00000132639,ENSG00000114956,ENSG00000108294,ENSG00000117054,ENSG00000198931,ENSG00000067064,ENSG00000067225,ENSG00000178741,ENSG00000160194,ENSG00000052802,ENSG00000178035,ENSG00000092010,ENSG00000186469,ENSG00000116171,ENSG00000165629,ENSG00000185627,ENSG00000141027,ENSG00000084754,ENSG00000142875,ENSG00000158864,ENSG00000180957,ENSG00000112972,ENSG00000115286,ENSG00000143106,ENSG00000159352","SEC11C,FDPS,SNAP25,DGUOK,PSMB3,ACADM,APRT,IDI1,PKM,COX5A,NDUFV3,MSMO1,IMPDH2,PSME1,GNG2,SCP2,ATP5C1,PSMD13,NCOR1,HADHA,PRKACB,NDUFS2,PITPNB,HMGCS1,NDUFS7,PSMA5,PSMD4",biological_process,small molecule metabolic process,157,27,1384,0.102901847586,12.5540254055,MN
GO:0016192,"ENSG00000085719,ENSG00000138069,ENSG00000132639,ENSG00000170310","CPNE3,RAB1A,SNAP25,STX8",biological_process,vesicle-mediated transport,19,4,222,0.117053113899,14.2804798957,MN
GO:0006368,"ENSG00000168002,ENSG00000154582,ENSG00000047315","POLR2G,TCEB1,POLR2B",biological_process,transcription elongation from RNA polymerase II promoter,14,3,78,0.122316002992,14.9225523651,MN
GO:0008284,"ENSG00000170889,ENSG00000114209,ENSG00000196591","RPS9,PDCD10,HDAC2",biological_process,positive regulation of cell proliferation,14,3,455,0.122316002992,14.9225523651,MN
GO:0008283,"ENSG00000186469,ENSG00000164885,ENSG00000013441,ENSG00000133026","GNG2,CDK5,CLK1,MYH10",biological_process,cell proliferation,20,4,373,0.139024900384,16.9610378468,MN
GO:0006006,"ENSG00000067225,ENSG00000117448,ENSG00000142875","PKM,AKR1A1,PRKACB",biological_process,glucose metabolic process,15,3,129,0.149226907412,18.2056827043,MN
GO:0030036,"ENSG00000158427,ENSG00000138071,ENSG00000133026","TMSB15B,ACTR2,MYH10",biological_process,actin cytoskeleton organization,16,3,164,0.178155105658,21.7349228903,MN
GO:0006357,"ENSG00000073584,ENSG00000115966,ENSG00000141027,ENSG00000154582","SMARCE1,ATF2,NCOR1,TCEB1",biological_process,regulation of transcription from RNA polymerase II promoter,22,4,327,0.187742638321,22.9046018752,MN
GO:0000209,"ENSG00000092140,ENSG00000143106,ENSG00000185627,ENSG00000108294,ENSG00000092010,ENSG00000159352,ENSG00000198919","G2E3,PSMA5,PSMD13,PSMB3,PSME1,PSMD4,DZIP3",biological_process,protein polyubiquitination,40,7,132,0.191373772932,23.3476002978,MN
GO:0007155,"ENSG00000134982,ENSG00000134121,ENSG00000182985","APC,CHL1,CADM1",biological_process,cell adhesion,17,3,494,0.208771509201,25.4701241225,MN
GO:0051437,"ENSG00000143106,ENSG00000185627,ENSG00000108294,ENSG00000092010,ENSG00000159352,ENSG00000141552","PSMA5,PSMD13,PSMB3,PSME1,PSMD4,ANAPC11",biological_process,positive regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,35,6,86,0.21345353608,26.0413314017,MN
GO:0051436,"ENSG00000143106,ENSG00000185627,ENSG00000108294,ENSG00000092010,ENSG00000159352,ENSG00000141552","PSMA5,PSMD13,PSMB3,PSME1,PSMD4,ANAPC11",biological_process,negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,35,6,80,0.21345353608,26.0413314017,MN
