event_id,ensembl_id,gene_name,gerstberger2014_tf,gerstberger2014_rbp,phenotype,modality
exon:chr12:53856277-53856351:+@exon:chr12:53858544-53858636:+@exon:chr12:53859716-53859757:+,"ENSG00000257379,ENSG00000197111","PCBP2,RP11-793H13.8",,,MN,bimodal
exon:chr12:53858544-53858636:+@exon:chr12:53859716-53859757:+@exon:chr12:53861005-53861069:+,"ENSG00000257379,ENSG00000197111","PCBP2,RP11-793H13.8",,,MN,bimodal
exon:chr12:53861005-53861077:+@exon:chr12:53861589-53861627:+@exon:chr12:53862561-53862616:+,ENSG00000197111,PCBP2,False,True,MN,bimodal
exon:chr12:56554027-56554104:+@exon:chr12:56554410-56554454:+@exon:chr12:56555171-56555249:+,ENSG00000092841,MYL6,False,False,MN,uncategorized
exon:chr12:58329622-58329958:-@exon:chr12:58329253-58329336:-@exon:chr12:58325371-58325520:-,ENSG00000257698,RP11-620J15.3,False,False,MN,bimodal
exon:chr12:79258592-79258889:+@exon:chr12:79349242-79349346:+@exon:chr12:79371579-79371711:+,ENSG00000067715,SYT1,False,False,MN,bimodal
exon:chr13:28019225-28019274:-@exon:chr13:28015154-28015214:-@exon:chr13:28014126-28014586:-,ENSG00000122033,MTIF3,False,True,MN,bimodal
exon:chr14:103800339-103800597:+@exon:chr14:103800726-103800934:+@exon:chr14:103801990-103802269:+,ENSG00000100664,EIF5,False,True,MN,bimodal
exon:chr14:104145721-104145855:+@exon:chr14:104151323-104151373:+@exon:chr14:104151975-104152523:+,"ENSG00000126214,ENSG00000256500","KLC1,RP11-73M18.2",,,MN,bimodal
exon:chr14:21737457-21737559:-@exon:chr14:21731470-21731495:-@exon:chr14:21702112-21702388:-,ENSG00000092199,HNRNPC,False,True,MN,bimodal
exon:chr14:21737457-21737559:-@exon:chr14:21731470-21731988:-@exon:chr14:21702112-21702388:-,ENSG00000092199,HNRNPC,False,True,MN,bimodal
exon:chr14:23299396-23299463:+@exon:chr14:23302627-23302691:+@exon:chr14:23303381-23303554:+,ENSG00000172590,MRPL52,False,True,MN,bimodal
exon:chr14:24606107-24606226:+@exon:chr14:24606352-24606414:+@exon:chr14:24606530-24606640:+,ENSG00000092010,PSME1,False,False,MN,bimodal
exon:chr14:31028329-31028478:+@exon:chr14:31050282-31050322:+@exon:chr14:31055924-31056021:+,ENSG00000092140,G2E3,False,False,MN,bimodal
exon:chr14:50301081-50301167:-@exon:chr14:50300141-50300214:-@exon:chr14:50298925-50298995:-,ENSG00000165525,NEMF,False,False,MN,bimodal
exon:chr14:50312858-50312983:-@exon:chr14:50307436-50307584:-@exon:chr14:50304857-50304924:-,ENSG00000165525,NEMF,False,False,MN,bimodal
exon:chr14:52327364-52327508:+@exon:chr14:52344335-52344375:+@exon:chr14:52417368-52417483:+,ENSG00000186469,GNG2,False,False,MN,bimodal
exon:chr14:55518365-55518521:+@exon:chr14:55528398-55528419:+@exon:chr14:55529336-55529743:+,ENSG00000168175,MAPK1IP1L,False,False,MN,bimodal
exon:chr14:58813129-58813223:+@exon:chr14:58813738-58813835:+@exon:chr14:58814365-58814596:+,ENSG00000032219,ARID4A,False,False,MN,bimodal
exon:chr15:102192474-102192579:-@exon:chr15:102191899-102191976:-@exon:chr15:102190207-102190364:-,ENSG00000184277,TM2D3,False,False,MN,bimodal
exon:chr15:34519896-34520047:+@exon:chr15:34520630-34520790:+@exon:chr15:34521954-34522357:+,ENSG00000128463,EMC4,False,False,MN,bimodal
exon:chr15:52257946-52258701:-@exon:chr15:52254586-52254690:-@exon:chr15:52252836-52252930:-,ENSG00000166477,LEO1,False,False,MN,bimodal
exon:chr15:52342190-52342334:+@exon:chr15:52350830-52350994:+@exon:chr15:52353496-52353697:+,ENSG00000069956,MAPK6,False,False,MN,bimodal
exon:chr15:59225603-59225757:-@exon:chr15:59224555-59224642:-@exon:chr15:59209134-59209198:-,ENSG00000137776,SLTM,False,True,MN,bimodal
exon:chr15:71188188-71188275:+@exon:chr15:71193261-71193363:+@exon:chr15:71196891-71197094:+,ENSG00000137821,LRRC49,False,False,MN,bimodal
exon:chr15:72499069-72499221:-@exon:chr15:72495363-72495529:-@exon:chr15:72494795-72494961:-@exon:chr15:72492815-72492996:-,ENSG00000067225,PKM,False,False,MN,bimodal
exon:chr15:75221457-75221573:-@exon:chr15:75219107-75219228:-@exon:chr15:75215989-75216111:-,ENSG00000178741,COX5A,False,False,MN,bimodal
exon:chr15:77176153-77176217:-@exon:chr15:77154757-77154874:-@exon:chr15:77150150-77150220:-,ENSG00000140386,SCAPER,True,False,MN,bimodal
exon:chr15:78588017-78588135:-@exon:chr15:78587288-78587315:-@exon:chr15:78585509-78585614:-,ENSG00000140395,WDR61,False,True,MN,bimodal
exon:chr15:80364925-80364989:+@exon:chr15:80390758-80390920:+@exon:chr15:80412670-80412840:+,ENSG00000086666,ZFAND6,False,False,MN,bimodal
exon:chr15:83654959-83655121:+@exon:chr15:83656088-83656136:+@exon:chr15:83657762-83657940:+,ENSG00000169612,FAM103A1,False,True,MN,bimodal
exon:chr16:21172406-21172599:+@exon:chr16:21178161-21178232:+@exon:chr16:21181758-21181926:+,ENSG00000011638,TMEM159,False,False,MN,bimodal
exon:chr16:31105878-31105923:-@exon:chr16:31104633-31104742:-@exon:chr16:31102413-31102663:-,"ENSG00000255439,ENSG00000167397","RP11-196G11.1,VKORC1",,,MN,bimodal
exon:chr16:57219733-57219943:-@exon:chr16:57212414-57212764:-@exon:chr16:57207640-57207781:-,ENSG00000172775,FAM192A,False,False,MN,bimodal
exon:chr16:57219733-57219944:-@exon:chr16:57208081-57208198:-@exon:chr16:57207640-57207781:-,ENSG00000172775,FAM192A,False,False,MN,bimodal
exon:chr16:66860426-66860486:-@exon:chr16:66858758-66858788:-@exon:chr16:66857432-66857503:-,ENSG00000159593,NAE1,False,False,MN,bimodal
exon:chr16:66864750-66864879:-@exon:chr16:66860580-66860683:-@exon:chr16:66860426-66860486:-,ENSG00000159593,NAE1,False,False,MN,bimodal
exon:chr16:81040339-81040500:-@exon:chr16:81034853-81034939:-@exon:chr16:81030919-81031034:-,ENSG00000103121,CMC2,False,False,MN,bimodal
exon:chr16:88877958-88878064:-@exon:chr16:88876831-88876964:-@exon:chr16:88876478-88876556:-,ENSG00000198931,APRT,False,False,MN,bimodal
exon:chr17:16055260-16055312:-@exon:chr17:16054904-16054930:-@exon:chr17:16052765-16052831:-,ENSG00000141027,NCOR1,True,False,MN,bimodal
exon:chr17:17184446-17184607:-@exon:chr17:17179349-17179478:-@exon:chr17:17174210-17174322:-,ENSG00000141030,COPS3,True,False,MN,bimodal
exon:chr17:25621102-25621461:+@exon:chr17:25628814-25628982:+@exon:chr17:25630393-25630661:+,ENSG00000109046,WSB1,False,False,MN,bimodal
exon:chr17:26646359-26646391:+@exon:chr17:26652529-26652673:+@exon:chr17:26653560-26653901:+,ENSG00000109084,TMEM97,False,False,MN,bimodal
exon:chr17:26662366-26662470:-@exon:chr17:26659172-26659408:-@exon:chr17:26658885-26659013:-,ENSG00000109083,IFT20,False,False,MN,bimodal
exon:chr17:26982305-26982501:-@exon:chr17:26978504-26978595:-@exon:chr17:26975607-26976294:-,ENSG00000132581,SDF2,False,False,MN,bimodal
exon:chr17:28443799-28443881:+@exon:chr17:28445098-28445191:+@exon:chr17:28499560-28499616:+,ENSG00000126653,NSRP1,False,True,MN,bimodal
exon:chr17:28445098-28445191:+@exon:chr17:28483558-28483680:+@exon:chr17:28499560-28499616:+,ENSG00000126653,NSRP1,False,True,MN,bimodal
exon:chr17:30692349-30692506:+@exon:chr17:30693684-30693776:+@exon:chr17:30694791-30695033:+,ENSG00000010244,ZNF207,True,False,MN,bimodal
exon:chr17:34842522-34842629:+@exon:chr17:34842779-34842810:+@exon:chr17:34848657-34848743:+,ENSG00000108278,ZNHIT3,False,False,MN,bimodal
exon:chr17:36912136-36912243:+@exon:chr17:36916684-36916861:+@exon:chr17:36918664-36918758:+,ENSG00000108294,PSMB3,False,False,MN,bimodal
exon:chr17:38801828-38801871:-@exon:chr17:38798707-38798811:-@exon:chr17:38793744-38793824:-,ENSG00000073584,SMARCE1,True,False,MN,bimodal
exon:chr17:38802048-38802099:-@exon:chr17:38801828-38801871:-@exon:chr17:38793744-38793824:-,ENSG00000073584,SMARCE1,True,False,MN,bimodal
exon:chr17:40149133-40149257:-@exon:chr17:40148329-40148442:-@exon:chr17:40146888-40146962:-,ENSG00000168259,DNAJC7,False,False,MN,bimodal
exon:chr17:40169358-40169441:-@exon:chr17:40155377-40155575:-@exon:chr17:40152500-40152588:-,ENSG00000168259,DNAJC7,False,False,MN,bimodal
exon:chr17:40618447-40618525:+@exon:chr17:40620028-40620125:+@exon:chr17:40622108-40622236:+,ENSG00000033627,ATP6V0A1,False,False,MN,bimodal
exon:chr17:41561508-41561553:+@exon:chr17:41566817-41566902:+@exon:chr17:41567759-41567861:+,ENSG00000067596,DHX8,False,True,MN,bimodal
exon:chr17:48823903-48824063:+@exon:chr17:48826580-48826705:+@exon:chr17:48827862-48833574:+,ENSG00000108848,LUC7L3,False,True,MN,bimodal
exon:chr17:49091593-49091714:-@exon:chr17:49085198-49085212:-@exon:chr17:49084630-49084687:-,ENSG00000008294,SPAG9,False,False,MN,bimodal
exon:chr17:5326089-5326149:+@exon:chr17:5329291-5329402:+@exon:chr17:5329556-5329619:+,ENSG00000129197,RPAIN,False,False,MN,bimodal
exon:chr17:5326089-5326149:+@exon:chr17:5329291-5329402:+@exon:chr17:5335862-5335928:+,ENSG00000129197,RPAIN,False,False,MN,bimodal
exon:chr17:5326089-5326149:+@exon:chr17:5329291-5329619:+@exon:chr17:5335862-5336035:+,ENSG00000129197,RPAIN,False,False,MN,bimodal
exon:chr17:5326089-5326149:+@exon:chr17:5329291-5331531:+@exon:chr17:5335862-5336035:+,ENSG00000129197,RPAIN,False,False,MN,bimodal
exon:chr17:5326089-5326149:+@exon:chr17:5329556-5329619:+@exon:chr17:5335862-5336196:+,ENSG00000129197,RPAIN,False,False,MN,bimodal
exon:chr17:5329291-5329402:+@exon:chr17:5329556-5329619:+@exon:chr17:5331391-5331973:+,ENSG00000129197,RPAIN,False,False,MN,bimodal
exon:chr17:5329291-5329402:+@exon:chr17:5329556-5329619:+@exon:chr17:5335862-5336196:+,ENSG00000129197,RPAIN,False,False,MN,bimodal
exon:chr17:5329291-5329402:+@exon:chr17:5331391-5331531:+@exon:chr17:5335862-5335928:+,ENSG00000129197,RPAIN,False,False,MN,bimodal
exon:chr17:5329556-5329619:+@exon:chr17:5331391-5331531:+@exon:chr17:5335862-5336196:+,ENSG00000129197,RPAIN,False,False,MN,bimodal
exon:chr17:57208642-57208728:-@exon:chr17:57196680-57196856:-@exon:chr17:57189452-57189706:-,ENSG00000182628,SKA2,False,False,MN,bimodal
exon:chr17:6918381-6918475:+@exon:chr17:6919093-6919194:+@exon:chr17:6919814-6920004:+,"ENSG00000258315,ENSG00000161939","RNASEK-C17orf49,C17orf49",,,MN,bimodal
exon:chr17:79849599-79849709:+@exon:chr17:79851428-79851490:+@exon:chr17:79852343-79852500:+,ENSG00000141552,ANAPC11,False,False,MN,bimodal
exon:chr17:79849626-79849717:+@exon:chr17:79851428-79851490:+@exon:chr17:79852343-79852462:+,ENSG00000141552,ANAPC11,False,False,MN,bimodal
exon:chr17:8533972-8534036:-@exon:chr17:8526742-8526815:-@exon:chr17:8526220-8526595:-,ENSG00000133026,MYH10,False,False,MN,bimodal
exon:chr17:9448489-9448599:-@exon:chr17:9408355-9408479:-@exon:chr17:9395146-9395238:-,ENSG00000170310,STX8,False,False,MN,bimodal
exon:chr18:13726659-13726728:+@exon:chr18:13730626-13730754:+@exon:chr18:13731475-13731933:+,ENSG00000101654,RNMT,False,True,MN,bimodal
exon:chr18:54293592-54293688:-@exon:chr18:54293393-54293497:-@exon:chr18:54291519-54291692:-,ENSG00000091164,TXNL1,False,False,MN,bimodal
exon:chr18:55270044-55270175:-@exon:chr18:55269587-55269718:-@exon:chr18:55267888-55269015:-,ENSG00000134440,NARS,False,True,MN,bimodal
exon:chr18:56822920-56823039:+@exon:chr18:56824840-56824897:+@exon:chr18:56825864-56826068:+,ENSG00000166562,SEC11C,False,False,MN,bimodal
exon:chr18:9195549-9195696:+@exon:chr18:9204474-9204542:+@exon:chr18:9208655-9208801:+,ENSG00000101745,ANKRD12,False,False,MN,bimodal
exon:chr19:10790492-10790603:+@exon:chr19:10791022-10791119:+@exon:chr19:10791695-10791704:+,ENSG00000129351,ILF3,False,True,MN,bimodal
exon:chr19:1383707-1383941:+@exon:chr19:1387810-1387846:+@exon:chr19:1388524-1388592:+,ENSG00000115286,NDUFS7,False,False,MN,bimodal
exon:chr19:16770206-16770258:-@exon:chr19:16764846-16764936:-@exon:chr19:16757931-16758072:-,"ENSG00000268790,ENSG00000214046","SMIM7,CTC-429P9.4",,,MN,bimodal
exon:chr19:39123070-39123136:+@exon:chr19:39123241-39123318:+@exon:chr19:39125633-39125758:+,ENSG00000178982,EIF3K,False,True,MN,bimodal
exon:chr19:50360950-50361039:+@exon:chr19:50361161-50361234:+@exon:chr19:50361314-50361371:+,ENSG00000104960,PTOV1,False,False,MN,bimodal
exon:chr19:54710144-54710330:+@exon:chr19:54710421-54710592:+@exon:chr19:54711266-54711515:+,ENSG00000170889,RPS9,False,True,MN,bimodal
exon:chr1:109968924-109969062:-@exon:chr1:109964482-109964548:-@exon:chr1:109957859-109957985:-,ENSG00000143106,PSMA5,False,False,MN,bimodal
exon:chr1:110950208-110950564:-@exon:chr1:110949655-110949750:-@exon:chr1:110948940-110949001:-,ENSG00000134248,LAMTOR5,False,False,MN,bimodal
exon:chr1:115280584-115280693:-@exon:chr1:115280092-115280184:-@exon:chr1:115279379-115279476:-,ENSG00000009307,CSDE1,False,True,MN,bimodal
exon:chr1:115292442-115292811:-@exon:chr1:115284148-115284294:-@exon:chr1:115282313-115282511:-,ENSG00000009307,CSDE1,False,True,MN,bimodal
exon:chr1:115300546-115300585:-@exon:chr1:115292442-115292828:-@exon:chr1:115282313-115282511:-,ENSG00000009307,CSDE1,False,True,MN,bimodal
exon:chr1:151227185-151227284:+@exon:chr1:151234637-151234777:+@exon:chr1:151236390-151236504:+,ENSG00000159352,PSMD4,False,False,MN,bimodal
exon:chr1:154145384-154145454:-@exon:chr1:154144505-154144580:-@exon:chr1:154143889-154143964:-@exon:chr1:154143125-154143187:-,ENSG00000143549,TPM3,False,False,MN,bimodal
exon:chr1:154184934-154185100:-@exon:chr1:154184796-154184854:-@exon:chr1:154179652-154180124:-,ENSG00000143612,C1orf43,False,False,MN,bimodal
exon:chr1:154186933-154187050:-@exon:chr1:154186369-154186422:-@exon:chr1:154184934-154185100:-,ENSG00000143612,C1orf43,False,False,MN,bimodal
exon:chr1:155289402-155289479:+@exon:chr1:155289585-155289719:+@exon:chr1:155290200-155290457:+,ENSG00000160752,FDPS,False,False,MN,bimodal
exon:chr1:156025054-156025216:+@exon:chr1:156027769-156027858:+@exon:chr1:156028106-156028297:+,ENSG00000116586,LAMTOR2,False,False,MN,bimodal
exon:chr1:161171937-161172270:+@exon:chr1:161173227-161173333:+@exon:chr1:161176197-161176387:+,ENSG00000158864,NDUFS2,False,False,MN,bimodal
exon:chr1:173833813-173834039:-@exon:chr1:173833622-173833644:-@exon:chr1:173833039-173833442:-,ENSG00000234741,GAS5,False,False,MN,bimodal
exon:chr1:202736054-202736188:-@exon:chr1:202735525-202735632:-@exon:chr1:202733177-202733273:-,ENSG00000117139,KDM5B,False,False,MN,bimodal
exon:chr1:220203728-220203822:-@exon:chr1:220198474-220198600:-@exon:chr1:220197606-220197798:-,ENSG00000136628,EPRS,False,True,MN,bimodal
exon:chr1:227400837-227400920:-@exon:chr1:227387258-227387353:-@exon:chr1:227381487-227381635:-,ENSG00000143776,CDC42BPA,False,False,MN,bimodal
exon:chr1:227441765-227441856:-@exon:chr1:227406964-227407121:-@exon:chr1:227400837-227400920:-,ENSG00000143776,CDC42BPA,False,False,MN,bimodal
exon:chr1:23660011-23660124:-@exon:chr1:23650049-23650225:-@exon:chr1:23648021-23648156:-,ENSG00000125944,HNRNPR,False,True,MN,bimodal
exon:chr1:23664247-23664354:-@exon:chr1:23660011-23660124:-@exon:chr1:23650049-23650225:-,ENSG00000125944,HNRNPR,False,True,MN,bimodal
exon:chr1:23670704-23670788:-@exon:chr1:23667345-23667510:-@exon:chr1:23664983-23665101:-,ENSG00000125944,HNRNPR,False,True,MN,bimodal
exon:chr1:23670704-23670829:-@exon:chr1:23667345-23667513:-@exon:chr1:23664983-23665101:-,ENSG00000125944,HNRNPR,False,True,MN,bimodal
exon:chr1:243349561-243349711:-@exon:chr1:243349081-243349374:-@exon:chr1:243335999-243336148:-,ENSG00000143702,CEP170,False,False,MN,bimodal
exon:chr1:244998918-244999058:+@exon:chr1:245005246-245005360:+@exon:chr1:245005497-245005560:+,ENSG00000203667,COX20,False,False,MN,bimodal
exon:chr1:25678117-25678184:+@exon:chr1:25679373-25679465:+@exon:chr1:25683284-25683344:+,ENSG00000183726,TMEM50A,False,False,MN,bimodal
exon:chr1:29064771-29064850:+@exon:chr1:29068915-29070498:+@exon:chr1:29095441-29096287:+,ENSG00000198492,YTHDF2,False,True,MN,bimodal
exon:chr1:32384571-32384969:-@exon:chr1:32381496-32381588:-@exon:chr1:32377297-32377427:-,ENSG00000184007,PTP4A2,False,False,MN,bimodal
exon:chr1:32669480-32669646:+@exon:chr1:32669787-32669980:+@exon:chr1:32670199-32670988:+,ENSG00000160050,CCDC28B,False,False,MN,bimodal
exon:chr1:33099246-33099328:-@exon:chr1:33097428-33097480:-@exon:chr1:33093109-33093145:-,ENSG00000176261,ZBTB8OS,False,False,MN,bimodal
exon:chr1:36690034-36690106:+@exon:chr1:36690572-36690703:+@exon:chr1:36724983-36725085:+,ENSG00000054118,THRAP3,False,True,MN,bimodal
exon:chr1:45341290-45341367:-@exon:chr1:45340350-45340498:-@exon:chr1:45323376-45323479:-,ENSG00000070785,EIF2B3,False,True,MN,bimodal
exon:chr1:45363027-45363116:-@exon:chr1:45347284-45347411:-@exon:chr1:45345490-45345680:-,ENSG00000070785,EIF2B3,False,True,MN,bimodal
exon:chr1:45392300-45392327:-@exon:chr1:45363027-45363116:-@exon:chr1:45347284-45347411:-,ENSG00000070785,EIF2B3,False,True,MN,bimodal
exon:chr1:46016215-46016827:+@exon:chr1:46018108-46018235:+@exon:chr1:46027461-46027550:+,ENSG00000117448,AKR1A1,False,False,MN,bimodal
exon:chr1:46033221-46033849:+@exon:chr1:46034157-46034356:+@exon:chr1:46034599-46034671:+,ENSG00000117448,AKR1A1,False,False,MN,bimodal
exon:chr1:50575378-50575636:+@exon:chr1:50607444-50607530:+@exon:chr1:50610629-50610869:+,ENSG00000162374,ELAVL4,False,True,MN,bimodal
exon:chr1:50661233-50661458:+@exon:chr1:50663101-50663139:+@exon:chr1:50666523-50667071:+,ENSG00000162374,ELAVL4,False,True,MN,bimodal
exon:chr1:52521976-52522051:+@exon:chr1:52525507-52525573:+@exon:chr1:52530497-52530610:+,ENSG00000134717,BTF3L4,False,False,MN,bimodal
exon:chr1:53493641-53493743:+@exon:chr1:53504589-53504718:+@exon:chr1:53513530-53517282:+,ENSG00000116171,SCP2,False,False,MN,bimodal
exon:chr1:6845551-6845635:+@exon:chr1:6880241-6880310:+@exon:chr1:6885152-6885270:+,ENSG00000171735,CAMTA1,True,False,MN,bimodal
exon:chr1:70712501-70712590:+@exon:chr1:70712800-70712832:+@exon:chr1:70715635-70715730:+,ENSG00000116754,SRSF11,False,True,MN,bimodal
exon:chr1:76190036-76190502:+@exon:chr1:76194086-76194173:+@exon:chr1:76198329-76198426:+,ENSG00000117054,ACADM,False,False,MN,bimodal
exon:chr1:78225328-78225374:-@exon:chr1:78211106-78211284:-@exon:chr1:78207302-78207433:-,ENSG00000077254,USP33,False,False,MN,bimodal
exon:chr1:84630065-84630105:+@exon:chr1:84639012-84639035:+@exon:chr1:84640716-84640739:+,ENSG00000142875,PRKACB,False,False,MN,bimodal
