,Splicing Gene,phenotype,Expression Gene,Pearson R,event_id,modality,gene_name,Correlation Direction,gene_type
4322,BRD8-event1,NPC,ENSG00000131016,0.545481767781,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,AKAP12,(+) Positive,protein_coding
4490,BRD8-event1,NPC,ENSG00000132661,-0.727496278009,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,NXT1,(-) Negative,protein_coding
4700,BRD8-event1,NPC,ENSG00000134779,0.665852716253,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,TPGS2,(+) Positive,protein_coding
4738,BRD8-event1,NPC,ENSG00000135063,-0.519746884044,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,FAM189A2,(-) Negative,protein_coding
4795,BRD8-event1,NPC,ENSG00000135486,0.579658303424,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,HNRNPA1,(+) Positive,protein_coding
4948,BRD8-event1,NPC,ENSG00000136718,-0.502192802257,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,IMP4,(-) Negative,protein_coding
5056,BRD8-event1,NPC,ENSG00000137496,-0.508952084214,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,IL18BP,(-) Negative,protein_coding
5169,BRD8-event1,NPC,ENSG00000138413,0.662891002591,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,IDH1,(+) Positive,protein_coding
5312,BRD8-event1,NPC,ENSG00000139800,-0.608231922907,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,ZIC5,(-) Negative,protein_coding
5597,BRD8-event1,NPC,ENSG00000143248,-0.587172299814,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,RGS5,(-) Negative,protein_coding
5656,BRD8-event1,NPC,ENSG00000143578,-0.513360044792,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,CREB3L4,(-) Negative,protein_coding
5712,BRD8-event1,NPC,ENSG00000144028,0.547027128787,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,SNRNP200,(+) Positive,protein_coding
5934,BRD8-event1,NPC,ENSG00000146587,-0.534681641412,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,RBAK,(-) Negative,protein_coding
6244,BRD8-event1,NPC,ENSG00000150990,-0.691095417601,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,DHX37,(-) Negative,protein_coding
6855,BRD8-event1,NPC,ENSG00000159228,-0.594907787585,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,CBR1,(-) Negative,protein_coding
6902,BRD8-event1,NPC,ENSG00000160055,-0.59008452674,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,TMEM234,(-) Negative,protein_coding
6994,BRD8-event1,NPC,ENSG00000160961,-0.513193649247,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,ZNF333,(-) Negative,protein_coding
6996,BRD8-event1,NPC,ENSG00000160973,-0.532429425502,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,FOXH1,(-) Negative,protein_coding
7009,BRD8-event1,NPC,ENSG00000161179,-0.635146470906,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,YDJC,(-) Negative,protein_coding
7076,BRD8-event1,NPC,ENSG00000162300,-0.543267495893,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,ZFPL1,(-) Negative,protein_coding
7096,BRD8-event1,NPC,ENSG00000162437,-0.511058856058,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,RAVER2,(-) Negative,protein_coding
7179,BRD8-event1,NPC,ENSG00000163017,-0.759912250945,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,ACTG2,(-) Negative,protein_coding
7278,BRD8-event1,NPC,ENSG00000163624,-0.520769754367,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,CDS1,(-) Negative,protein_coding
7327,BRD8-event1,NPC,ENSG00000163867,-0.518597058143,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,ZMYM6,(-) Negative,protein_coding
7540,BRD8-event1,NPC,ENSG00000165105,-0.523172748742,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,RASEF,(-) Negative,protein_coding
7553,BRD8-event1,NPC,ENSG00000165219,-0.522222996646,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,GAPVD1,(-) Negative,protein_coding
7601,BRD8-event1,NPC,ENSG00000165588,-0.588126364777,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,OTX2,(-) Negative,protein_coding
7646,BRD8-event1,NPC,ENSG00000165868,-0.5004234512,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,HSPA12A,(-) Negative,protein_coding
7673,BRD8-event1,NPC,ENSG00000166105,-0.504834780433,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,GLB1L3,(-) Negative,protein_coding
7732,BRD8-event1,NPC,ENSG00000166432,-0.557302414428,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,ZMAT1,(-) Negative,protein_coding
7809,BRD8-event1,NPC,ENSG00000166927,-0.500728896684,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,MS4A7,(-) Negative,protein_coding
7921,BRD8-event1,NPC,ENSG00000167703,-0.738083446139,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,SLC43A2,(-) Negative,protein_coding
8422,BRD8-event1,NPC,ENSG00000171703,-0.566198594247,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,TCEA2,(-) Negative,protein_coding
8511,BRD8-event1,NPC,ENSG00000172465,-0.547948946884,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,TCEAL1,(-) Negative,protein_coding
8544,BRD8-event1,NPC,ENSG00000172831,-0.501281044452,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,CES2,(-) Negative,protein_coding
8856,BRD8-event1,NPC,ENSG00000176274,-0.529950832286,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,SLC25A53,(-) Negative,protein_coding
9119,BRD8-event1,NPC,ENSG00000179299,-0.581527338301,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,NSUN7,(-) Negative,protein_coding
9163,BRD8-event1,NPC,ENSG00000179943,-0.605885561089,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,FIZ1,(-) Negative,protein_coding
9351,BRD8-event1,NPC,ENSG00000182572,-0.540863394974,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,HIST1H3I,(-) Negative,protein_coding
9467,BRD8-event1,NPC,ENSG00000183735,-0.678161698945,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,TBK1,(-) Negative,protein_coding
9565,BRD8-event1,NPC,ENSG00000184697,-0.588126364777,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,CLDN6,(-) Negative,protein_coding
9646,BRD8-event1,NPC,ENSG00000185418,-0.52822761952,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,TARSL2,(-) Negative,protein_coding
9861,BRD8-event1,NPC,ENSG00000187630,-0.615921476836,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,DHRS4L2,(-) Negative,protein_coding
9960,BRD8-event1,NPC,ENSG00000188659,-0.588123197219,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,FAM154B,(-) Negative,protein_coding
9998,BRD8-event1,NPC,ENSG00000189060,-0.526349961371,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,H1F0,(-) Negative,protein_coding
10098,BRD8-event1,NPC,ENSG00000196470,-0.639306250604,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,SIAH1,(-) Negative,protein_coding
10172,BRD8-event1,NPC,ENSG00000196917,-0.551788185481,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,HCAR1,(-) Negative,protein_coding
10183,BRD8-event1,NPC,ENSG00000196981,-0.522045716678,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,WDR5B,(-) Negative,protein_coding
10214,BRD8-event1,NPC,ENSG00000197153,-0.554289021408,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,HIST1H3J,(-) Negative,protein_coding
10216,BRD8-event1,NPC,ENSG00000197162,-0.628763097983,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,ZNF785,(-) Negative,protein_coding
10290,BRD8-event1,NPC,ENSG00000197697,-0.587490424264,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,HIST1H2BE,(-) Negative,protein_coding
10327,BRD8-event1,NPC,ENSG00000197905,-0.588126364777,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,TEAD4,(-) Negative,protein_coding
10361,BRD8-event1,NPC,ENSG00000198060,-0.622562754877,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,MARCH5,(-) Negative,protein_coding
10521,BRD8-event1,NPC,ENSG00000198863,-0.614352627175,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,RUNDC1,(-) Negative,protein_coding
10749,BRD8-event1,NPC,ENSG00000204954,-0.571526584569,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,C12orf73,(-) Negative,protein_coding
10793,BRD8-event1,NPC,ENSG00000205581,0.500683698719,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,HMGN1,(+) Positive,protein_coding
10989,BRD8-event1,NPC,ENSG00000214670,-0.566088843055,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,AC007956.1,(-) Negative,protein_coding
12041,BRD8-event1,NPC,ENSG00000240720,-0.643218916065,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,LRRD1,(-) Negative,protein_coding
12608,BRD8-event1,NPC,ENSG00000254087,-0.588126364777,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,LYN,(-) Negative,protein_coding
13066,BRD8-event1,NPC,ENSG00000259399,-0.657523141907,exon:chr5:137495758-137495862:-@exon:chr5:137495244-137495288:-@exon:chr5:137492571-137492956:-,bimodal,TGIF2-C20orf24,(-) Negative,protein_coding
