,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value,modality,phenotype
GO:0015031,"ENSG00000138674,ENSG00000116521,ENSG00000149182,ENSG00000126858,ENSG00000111237,ENSG00000155366,ENSG00000168118,ENSG00000185236,ENSG00000168172,ENSG00000163904,ENSG00000177879,ENSG00000157349,ENSG00000092108,ENSG00000198301,ENSG00000042753,ENSG00000105669,ENSG00000180398,ENSG00000133703,ENSG00000126777,ENSG00000115561,ENSG00000249884,ENSG00000069329","SEC31A,SCAMP3,ARFGAP2,RHOT1,VPS29,RHOC,RAB4A,RAB11B,HOOK3,SENP2,AP3S1,DDX19B,SCFD1,SDAD1,AP2S1,COPE,MCFD2,KRAS,KTN1,CHMP3,RNF103-CHMP3,VPS35",biological_process,protein transport,33,22,517,10.3228197828,5.02951495811,bimodal,NPC
GO:0007411,"ENSG00000166913,ENSG00000077254,ENSG00000092841,ENSG00000197694,ENSG00000133703,ENSG00000155366,ENSG00000042753,ENSG00000141367,ENSG00000149269,ENSG00000112186,ENSG00000164885,ENSG00000132670,ENSG00000131236,ENSG00000099204,ENSG00000163539","YWHAB,USP33,MYL6,SPTAN1,KRAS,RHOC,AP2S1,CLTC,PAK1,CAP2,CDK5,PTPRA,CAP1,ABLIM1,CLASP2",biological_process,axon guidance,20,15,341,10.2386697334,4.94536490863,bimodal,NPC
GO:0043065,"ENSG00000003756,ENSG00000160049,ENSG00000071243,ENSG00000253729,ENSG00000111653,ENSG00000184047,ENSG00000029363,ENSG00000138376,ENSG00000108561,ENSG00000068745","RBM5,DFFA,ING3,PRKDC,ING4,DIABLO,BCLAF1,BARD1,C1QBP,IP6K2",biological_process,positive regulation of apoptotic process,12,10,235,9.68617669733,4.3928718726,bimodal,NPC
GO:0006281,"ENSG00000151657,ENSG00000123562,ENSG00000104517,ENSG00000085224,ENSG00000147140,ENSG00000067369,ENSG00000148153,ENSG00000169689,ENSG00000117748,ENSG00000143748,ENSG00000104343,ENSG00000138138,ENSG00000129484,ENSG00000138376,ENSG00000129197,ENSG00000116750,ENSG00000070501,ENSG00000183207,ENSG00000139372,ENSG00000169189,ENSG00000140455,ENSG00000248643,ENSG00000253729","KIN,MORF4L2,UBR5,ATRX,NONO,TP53BP1,INIP,STRA13,RPA2,NVL,UBE2W,ATAD1,PARP2,BARD1,RPAIN,UCHL5,POLB,RUVBL2,TDG,NSMCE1,USP3,RBM14-RBM4,PRKDC",biological_process,DNA repair,37,23,341,8.92970991048,3.63640508576,bimodal,NPC
GO:0000278,"ENSG00000131467,ENSG00000144744,ENSG00000151422,ENSG00000185627,ENSG00000094880,ENSG00000175203,ENSG00000127914,ENSG00000078674,ENSG00000140455,ENSG00000077380,ENSG00000163539,ENSG00000108294,ENSG00000135336,ENSG00000182628,ENSG00000153575,ENSG00000141552,ENSG00000117697,ENSG00000166037,ENSG00000097046,ENSG00000204843,ENSG00000117748","PSME3,UBA3,FER,PSMD13,CDC23,DCTN2,AKAP9,PCM1,USP3,DYNC1I2,CLASP2,PSMB3,ORC3,SKA2,TUBGCP5,ANAPC11,NSL1,CEP57,CDC7,DCTN1,RPA2",biological_process,mitotic cell cycle,33,21,352,8.8795486043,3.58624377957,bimodal,NPC
GO:0006260,"ENSG00000151657,ENSG00000111653,ENSG00000248643,ENSG00000135336,ENSG00000187109,ENSG00000117748,ENSG00000198000,ENSG00000097046,ENSG00000183207","KIN,ING4,RBM14-RBM4,ORC3,NAP1L1,RPA2,NOL8,CDC7,RUVBL2",biological_process,DNA replication,11,9,164,8.69359088546,3.40028606074,bimodal,NPC
GO:0042384,"ENSG00000144451,ENSG00000135541,ENSG00000078674,ENSG00000160050,ENSG00000173226,ENSG00000140463,ENSG00000214413","SPAG16,AHI1,PCM1,CCDC28B,IQCB1,BBS4,BBIP1",biological_process,cilium assembly,8,7,71,8.57044721112,3.27714238639,bimodal,NPC
GO:0006695,"ENSG00000147383,ENSG00000160752,ENSG00000067064,ENSG00000152904,ENSG00000149809,ENSG00000113161,ENSG00000052802","NSDHL,FDPS,IDI1,GGPS1,TM7SF2,HMGCR,MSMO1",biological_process,cholesterol biosynthetic process,8,7,37,8.57044721112,3.27714238639,bimodal,NPC
GO:0044281,"ENSG00000141349,ENSG00000167792,ENSG00000072042,ENSG00000147383,ENSG00000087053,ENSG00000114956,ENSG00000164405,ENSG00000108294,ENSG00000117054,ENSG00000120992,ENSG00000138363,ENSG00000113161,ENSG00000087460,ENSG00000131828,ENSG00000149809,ENSG00000155096,ENSG00000178741,ENSG00000067829,ENSG00000067064,ENSG00000198431,ENSG00000186469,ENSG00000140374,ENSG00000094914,ENSG00000131467,ENSG00000160752,ENSG00000103415,ENSG00000185627,ENSG00000136243,ENSG00000141027,ENSG00000006625,ENSG00000171720,ENSG00000158864,ENSG00000239900,ENSG00000052802,ENSG00000023330,ENSG00000152904,ENSG00000070669,ENSG00000143774,ENSG00000122643,ENSG00000172531,ENSG00000136143,ENSG00000151552","G6PC3,NDUFV1,RDH11,NSDHL,MTMR2,DGUOK,UQCRQ,PSMB3,ACADM,LYPLA1,ATIC,HMGCR,GNAS,PDHA1,TM7SF2,AZIN1,COX5A,IDH3G,IDI1,TXNRD1,GNG2,ETFA,AAAS,PSME3,FDPS,HMOX2,PSMD13,NUPL2,NCOR1,GGCT,HDAC3,NDUFS2,ADSL,MSMO1,ALAS1,GGPS1,ASNS,GUK1,NT5C3A,PPP1CA,SUCLA2,QDPR",biological_process,small molecule metabolic process,80,42,1384,8.37417603507,3.08087121034,bimodal,NPC
GO:0043066,"ENSG00000126432,ENSG00000160049,ENSG00000166333,ENSG00000124356,ENSG00000146247,ENSG00000171720,ENSG00000097033,ENSG00000198625,ENSG00000170242,ENSG00000172113,ENSG00000070669,ENSG00000164305,ENSG00000138376,ENSG00000114209,ENSG00000089289,ENSG00000113161,ENSG00000085063,ENSG00000070501,ENSG00000102265,ENSG00000147649,ENSG00000135541","PRDX5,DFFA,ILK,STAMBP,PHIP,HDAC3,SH3GLB1,MDM4,USP47,NME6,ASNS,CASP3,BARD1,PDCD10,IGBP1,HMGCR,CD59,POLB,TIMP1,MTDH,AHI1",biological_process,negative regulation of apoptotic process,34,21,540,8.22446510741,2.93116028268,bimodal,NPC
GO:0006413,"ENSG00000178982,ENSG00000135930,ENSG00000151247,ENSG00000145425,ENSG00000122026,ENSG00000112306,ENSG00000156976,ENSG00000070785,ENSG00000089195,ENSG00000089157,ENSG00000100664","EIF3K,EIF4E2,EIF4E,RPS3A,RPL21,RPS12,EIF4A2,EIF2B3,TRMT6,RPLP0,EIF5",biological_process,translational initiation,15,11,155,7.88154987296,2.58824504824,bimodal,NPC
GO:0008219,"ENSG00000204120,ENSG00000204843,ENSG00000100225,ENSG00000070501,ENSG00000066427,ENSG00000069329","GIGYF2,DCTN1,FBXO7,POLB,ATXN3,VPS35",biological_process,cell death,7,6,160,7.49651801128,2.20321318656,bimodal,NPC
GO:0017148,"ENSG00000073792,ENSG00000173933,ENSG00000114416,ENSG00000248643,ENSG00000116001,ENSG00000135316","IGF2BP2,RBM4,FXR1,RBM14-RBM4,TIA1,SYNCRIP",biological_process,negative regulation of translation,7,6,35,7.49651801128,2.20321318656,bimodal,NPC
GO:0006396,"ENSG00000090621,ENSG00000003756,ENSG00000185246,ENSG00000173933,ENSG00000144048,ENSG00000135316,ENSG00000248643,ENSG00000163714,ENSG00000163660,ENSG00000165119,ENSG00000138668,ENSG00000169045,ENSG00000064607,ENSG00000004534","PABPC4,RBM5,PRPF39,RBM4,DUSP11,SYNCRIP,RBM14-RBM4,U2SURP,CCNL1,HNRNPK,HNRNPD,HNRNPH1,SUGP2,RBM6",biological_process,RNA processing,21,14,97,7.4959453991,2.20264057438,bimodal,NPC
GO:0000122,"ENSG00000108561,ENSG00000139372,ENSG00000196233,ENSG00000197323,ENSG00000101040,ENSG00000141027,ENSG00000198625,ENSG00000089289,ENSG00000181090,ENSG00000165671,ENSG00000168214,ENSG00000147649,ENSG00000171634,ENSG00000130816,ENSG00000171720,ENSG00000197372,ENSG00000101928","C1QBP,TDG,LCOR,TRIM33,ZMYND8,NCOR1,MDM4,IGBP1,EHMT1,NSD1,RBPJ,MTDH,BPTF,DNMT1,HDAC3,ZNF675,MOSPD1",biological_process,negative regulation of transcription from RNA polymerase II promoter,27,17,571,7.45653418861,2.16322936389,bimodal,NPC
GO:0006508,"ENSG00000144744,ENSG00000113851,ENSG00000124356,ENSG00000108039,ENSG00000255439,ENSG00000148950,ENSG00000102910,ENSG00000164305,ENSG00000163904","UBA3,CRBN,STAMBP,XPNPEP1,RP11-196G11.1,IMMP1L,LONP2,CASP3,SENP2",biological_process,proteolysis,12,9,537,7.27122632751,1.97792150279,bimodal,NPC
GO:0006418,"ENSG00000134440,ENSG00000146282,ENSG00000166986,ENSG00000065427,ENSG00000106305,ENSG00000170445,ENSG00000196305,ENSG00000140105,ENSG00000138777","NARS,RARS2,MARS,KARS,AIMP2,HARS,IARS,WARS,PPA2",biological_process,tRNA aminoacylation for protein translation,12,9,56,7.27122632751,1.97792150279,bimodal,NPC
GO:0043687,"ENSG00000120697,ENSG00000138674,ENSG00000180398,ENSG00000151665,ENSG00000167397,ENSG00000185808,ENSG00000100417,ENSG00000100564,ENSG00000095059","ALG5,SEC31A,MCFD2,PIGF,VKORC1,PIGP,PMM1,PIGH,DHPS",biological_process,post-translational protein modification,12,9,192,7.27122632751,1.97792150279,bimodal,NPC
GO:0006917,"ENSG00000145425,ENSG00000160049,ENSG00000147601,ENSG00000184047,ENSG00000160310,ENSG00000029363,ENSG00000164305,ENSG00000116001,ENSG00000132824","RPS3A,DFFA,TERF1,DIABLO,PRMT2,BCLAF1,CASP3,TIA1,SERINC3",biological_process,induction of apoptosis,12,9,224,7.27122632751,1.97792150279,bimodal,NPC
GO:0008286,"ENSG00000166913,ENSG00000151247,ENSG00000133703,ENSG00000132670,ENSG00000047249,ENSG00000033627,ENSG00000177879,ENSG00000157500,ENSG00000146247","YWHAB,EIF4E,KRAS,PTPRA,ATP6V1H,ATP6V0A1,AP3S1,APPL1,PHIP",biological_process,insulin receptor signaling pathway,12,9,159,7.27122632751,1.97792150279,bimodal,NPC
GO:0030154,"ENSG00000145425,ENSG00000213523,ENSG00000204463,ENSG00000147548,ENSG00000173933,ENSG00000114416,ENSG00000099956,ENSG00000248643,ENSG00000086758,ENSG00000101079","RPS3A,SRA1,BAG6,WHSC1L1,RBM4,FXR1,SMARCB1,RBM14-RBM4,HUWE1,NDRG3",biological_process,cell differentiation,14,10,461,7.01864903315,1.72534420843,bimodal,NPC
GO:0045944,"ENSG00000168214,ENSG00000213523,ENSG00000123562,ENSG00000185630,ENSG00000113658,ENSG00000099956,ENSG00000146247,ENSG00000160199,ENSG00000248643,ENSG00000089289,ENSG00000253729,ENSG00000115966,ENSG00000165119,ENSG00000099204,ENSG00000163904,ENSG00000067369,ENSG00000078403,ENSG00000101928,ENSG00000058272,ENSG00000135541","RBPJ,SRA1,MORF4L2,PBX1,SMAD5,SMARCB1,PHIP,PKNOX1,RBM14-RBM4,IGBP1,PRKDC,ATF2,HNRNPK,ABLIM1,SENP2,TP53BP1,MLLT10,MOSPD1,PPP1R12A,AHI1",biological_process,positive regulation of transcription from RNA polymerase II promoter,34,20,771,6.98787790451,1.69457307978,bimodal,NPC
GO:0006310,"ENSG00000151657,ENSG00000138138,ENSG00000169189,ENSG00000085224,ENSG00000248643,ENSG00000147140,ENSG00000168214,ENSG00000129197,ENSG00000116750,ENSG00000143748,ENSG00000183207","KIN,ATAD1,NSMCE1,ATRX,RBM14-RBM4,NONO,RBPJ,RPAIN,UCHL5,NVL,RUVBL2",biological_process,DNA recombination,16,11,111,6.86893864553,1.5756338208,bimodal,NPC
GO:0016568,"ENSG00000158019,ENSG00000123562,ENSG00000258315,ENSG00000204463,ENSG00000141027,ENSG00000171988,ENSG00000181090,ENSG00000105393,ENSG00000130816,ENSG00000171720,ENSG00000099991","BRE,MORF4L2,C17orf49,BAG6,NCOR1,JMJD1C,EHMT1,BABAM1,DNMT1,HDAC3,CABIN1",biological_process,chromatin modification,16,11,124,6.86893864553,1.5756338208,bimodal,NPC
GO:0051301,"ENSG00000047849,ENSG00000113712,ENSG00000166295,ENSG00000110200,ENSG00000169689,ENSG00000115561,ENSG00000094880,ENSG00000156256,ENSG00000147601,ENSG00000128989,ENSG00000182628,ENSG00000141552,ENSG00000117697,ENSG00000172531,ENSG00000100014,ENSG00000097046,ENSG00000164885,ENSG00000163539","MAP4,CSNK1A1,ANAPC16,ANAPC15,STRA13,CHMP3,CDC23,USP16,TERF1,ARPP19,SKA2,ANAPC11,NSL1,PPP1CA,SPECC1L,CDC7,CDK5,CLASP2",biological_process,cell division,30,18,330,6.8605353966,1.56723057188,bimodal,NPC
GO:0006412,"ENSG00000178982,ENSG00000243147,ENSG00000100815,ENSG00000048544,ENSG00000153037,ENSG00000122026,ENSG00000112306,ENSG00000100883,ENSG00000082515,ENSG00000100664,ENSG00000162910,ENSG00000163319,ENSG00000156976,ENSG00000070785,ENSG00000095059,ENSG00000170445,ENSG00000089157,ENSG00000140105,ENSG00000124783,ENSG00000145425,ENSG00000090621,ENSG00000116957,ENSG00000151247,ENSG00000204568","EIF3K,MRPL33,TRIP11,MRPS10,SRP19,RPL21,RPS12,SRP54,MRPL22,EIF5,MRPL55,MRPS18C,EIF4A2,EIF2B3,DHPS,HARS,RPLP0,WARS,SSR1,RPS3A,PABPC4,TBCE,EIF4E,MRPS18B",biological_process,translation,43,24,310,6.82226759134,1.52896276662,bimodal,NPC
GO:0008152,"ENSG00000101247,ENSG00000087995,ENSG00000072042,ENSG00000023330,ENSG00000093144,ENSG00000157426,ENSG00000148335,ENSG00000070669,ENSG00000117054,ENSG00000120992,ENSG00000182220,ENSG00000101654,ENSG00000100417,ENSG00000131828,ENSG00000110871,ENSG00000136143,ENSG00000151552","NDUFAF5,METTL2A,RDH11,ALAS1,ECHDC1,AASDH,NTMT1,ASNS,ACADM,LYPLA1,ATP6AP2,RNMT,PMM1,PDHA1,COQ5,SUCLA2,QDPR",biological_process,metabolic process,28,17,486,6.80888910828,1.51558428355,bimodal,NPC
GO:0045087,"ENSG00000241258,ENSG00000052723,ENSG00000197111,ENSG00000145782,ENSG00000115966,ENSG00000165416,ENSG00000108561","CRCP,SIKE1,PCBP2,ATG12,ATF2,SUGT1,C1QBP",biological_process,innate immune response,9,7,382,6.73487023839,1.44156541367,bimodal,NPC
GO:0006511,"ENSG00000114374,ENSG00000154582,ENSG00000204463,ENSG00000094880,ENSG00000078140,ENSG00000104517,ENSG00000140455,ENSG00000156256,ENSG00000170242,ENSG00000077254,ENSG00000100225,ENSG00000116750,ENSG00000138592,ENSG00000066427","USP9Y,TCEB1,BAG6,CDC23,UBE2K,UBR5,USP3,USP16,USP47,USP33,FBXO7,UCHL5,USP8,ATXN3",biological_process,ubiquitin-dependent protein catabolic process,22,14,196,6.72928446846,1.43597964374,bimodal,NPC
GO:0006397,"ENSG00000151657,ENSG00000162664,ENSG00000173933,ENSG00000108848,ENSG00000117569,ENSG00000108561,ENSG00000100461,ENSG00000182004,ENSG00000133226,ENSG00000132485,ENSG00000161265,ENSG00000175324,ENSG00000145216,ENSG00000125944,ENSG00000125676,ENSG00000064607,ENSG00000147140,ENSG00000185246,ENSG00000248643,ENSG00000160201,ENSG00000153914,ENSG00000134748,ENSG00000121067","KIN,ZNF326,RBM4,LUC7L3,PTBP2,C1QBP,RBM23,SNRPE,SRRM1,ZRANB2,U2AF1L4,LSM1,FIP1L1,HNRNPR,THOC2,SUGP2,NONO,PRPF39,RBM14-RBM4,U2AF1,SREK1,PRPF38A,SPOP",biological_process,mRNA processing,41,23,240,6.72657037352,1.43326554879,bimodal,NPC
GO:0006446,"ENSG00000178982,ENSG00000089195,ENSG00000156976,ENSG00000100664,ENSG00000075151","EIF3K,TRMT6,EIF4A2,EIF5,EIF4G3",biological_process,regulation of translational initiation,6,5,28,6.42334061976,1.13003579503,bimodal,NPC
GO:0018105,"ENSG00000166333,ENSG00000253729,ENSG00000164885,ENSG00000013441,ENSG00000159256","ILK,PRKDC,CDK5,CLK1,MORC3",biological_process,peptidyl-serine phosphorylation,6,5,63,6.42334061976,1.13003579503,bimodal,NPC
GO:0006414,"ENSG00000123297,ENSG00000122026,ENSG00000112306,ENSG00000089157,ENSG00000145425","TSFM,RPL21,RPS12,RPLP0,RPS3A",biological_process,translational elongation,6,5,113,6.42334061976,1.13003579503,bimodal,NPC
GO:0009790,"ENSG00000164885,ENSG00000181090,ENSG00000204463,ENSG00000077809,ENSG00000113161","CDK5,EHMT1,BAG6,GTF2I,HMGCR",biological_process,embryo development,6,5,152,6.42334061976,1.13003579503,bimodal,NPC
GO:0006606,"ENSG00000205339,ENSG00000102753,ENSG00000146247,ENSG00000129197,ENSG00000204764","IPO7,KPNA3,PHIP,RPAIN,RANBP17",biological_process,protein import into nucleus,6,5,48,6.42334061976,1.13003579503,bimodal,NPC
GO:0007265,"ENSG00000166913,ENSG00000148484,ENSG00000138592,ENSG00000133703,ENSG00000138757","YWHAB,RSU1,USP8,KRAS,G3BP2",biological_process,Ras protein signal transduction,6,5,81,6.42334061976,1.13003579503,bimodal,NPC
GO:0051262,"ENSG00000239900,ENSG00000155463,ENSG00000087053,ENSG00000198431,ENSG00000113161","ADSL,OXA1L,MTMR2,TXNRD1,HMGCR",biological_process,protein tetramerization,6,5,30,6.42334061976,1.13003579503,bimodal,NPC
GO:0008380,"ENSG00000162664,ENSG00000173933,ENSG00000108848,ENSG00000197111,ENSG00000147140,ENSG00000165119,ENSG00000108561,ENSG00000075292,ENSG00000003756,ENSG00000182004,ENSG00000060339,ENSG00000138668,ENSG00000133226,ENSG00000132485,ENSG00000161265,ENSG00000175324,ENSG00000205937,ENSG00000125944,ENSG00000125676,ENSG00000064607,ENSG00000169045,ENSG00000185246,ENSG00000248643,ENSG00000160201,ENSG00000153914,ENSG00000135316,ENSG00000134748,ENSG00000092199","ZNF326,RBM4,LUC7L3,PCBP2,NONO,HNRNPK,C1QBP,ZNF638,RBM5,SNRPE,CCAR1,HNRNPD,SRRM1,ZRANB2,U2AF1L4,LSM1,RNPS1,HNRNPR,THOC2,SUGP2,HNRNPH1,PRPF39,RBM14-RBM4,U2AF1,SREK1,SYNCRIP,PRPF38A,HNRNPC",biological_process,RNA splicing,53,28,268,6.39224885374,1.09894402901,bimodal,NPC
GO:0007050,"ENSG00000115241,ENSG00000005483,ENSG00000166333,ENSG00000111653,ENSG00000138376,ENSG00000100532,ENSG00000151914,ENSG00000127603","PPM1G,KMT2E,ILK,ING4,BARD1,CGRRF1,DST,MACF1",biological_process,cell cycle arrest,11,8,132,6.36951329772,1.07620847299,bimodal,NPC
GO:0007268,"ENSG00000111371,ENSG00000143727,ENSG00000042753,ENSG00000067715,ENSG00000186469,ENSG00000164885,ENSG00000066427,ENSG00000127914","SLC38A1,ACP1,AP2S1,SYT1,GNG2,CDK5,ATXN3,AKAP9",biological_process,synaptic transmission,11,8,409,6.36951329772,1.07620847299,bimodal,NPC
