,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value,modality,phenotype
GO:0016568,"ENSG00000158019,ENSG00000113648,ENSG00000123562,ENSG00000181090,ENSG00000141027,ENSG00000171988,ENSG00000163159,ENSG00000111642,ENSG00000118418,ENSG00000130816,ENSG00000171720,ENSG00000204256,ENSG00000124795,ENSG00000163104,ENSG00000111875,ENSG00000099991","BRE,H2AFY,MORF4L2,EHMT1,NCOR1,JMJD1C,VPS72,CHD4,HMGN3,DNMT1,HDAC3,BRD2,DEK,SMARCAD1,ASF1A,CABIN1",biological_process,chromatin modification,18,16,124,15.348390405,9.35692585785,included,iPSC
GO:0001701,"ENSG00000145741,ENSG00000119048,ENSG00000004487,ENSG00000133026,ENSG00000254999,ENSG00000141030,ENSG00000108654,ENSG00000180957,ENSG00000126457,ENSG00000061676,ENSG00000134313,ENSG00000095002,ENSG00000065978","BTF3,UBE2B,KDM1A,MYH10,BRK1,COPS3,DDX5,PITPNB,PRMT1,NCKAP1,KIDINS220,MSH2,YBX1",biological_process,in utero embryonic development,14,13,245,14.685886995,8.69442244785,included,iPSC
GO:0043687,"ENSG00000120697,ENSG00000244038,ENSG00000129562,ENSG00000180398,ENSG00000151665,ENSG00000185808,ENSG00000163902,ENSG00000152700,ENSG00000118705,ENSG00000100417,ENSG00000074695,ENSG00000167004,ENSG00000138674","ALG5,DDOST,DAD1,MCFD2,PIGF,PIGP,RPN1,SAR1B,RPN2,PMM1,LMAN1,PDIA3,SEC31A",biological_process,post-translational protein modification,14,13,192,14.685886995,8.69442244785,included,iPSC
GO:0030168,"ENSG00000197746,ENSG00000164924,ENSG00000135404,ENSG00000067560,ENSG00000128595,ENSG00000104112,ENSG00000102265,ENSG00000136238,ENSG00000149925,ENSG00000143933,ENSG00000196262,ENSG00000186469,ENSG00000177885,ENSG00000108518,ENSG00000172757","PSAP,YWHAZ,CD63,RHOA,CALU,SCG3,TIMP1,RAC1,ALDOA,CALM2,PPIA,GNG2,GRB2,PFN1,CFL1",biological_process,platelet activation,17,15,218,14.3529982129,8.36153366581,included,iPSC
GO:0016477,"ENSG00000078618,ENSG00000196504,ENSG00000134982,ENSG00000007168,ENSG00000082701,ENSG00000143776,ENSG00000077254,ENSG00000115355,ENSG00000136238,ENSG00000110492,ENSG00000164885,ENSG00000163539","NRD1,PRPF40A,APC,PAFAH1B1,GSK3B,CDC42BPA,USP33,CCDC88A,RAC1,MDK,CDK5,CLASP2",biological_process,cell migration,13,12,140,13.6355577068,7.64409315964,included,iPSC
GO:0035556,"ENSG00000108953,ENSG00000117632,ENSG00000160049,ENSG00000169189,ENSG00000151422,ENSG00000082701,ENSG00000143776,ENSG00000109046,ENSG00000136238,ENSG00000143771,ENSG00000100528,ENSG00000115239","YWHAE,STMN1,DFFA,NSMCE1,FER,GSK3B,CDC42BPA,WSB1,RAC1,CNIH4,CNIH1,GPR75-ASB3",biological_process,intracellular signal transduction,13,12,320,13.6355577068,7.64409315964,included,iPSC
GO:0007010,"ENSG00000154096,ENSG00000196504,ENSG00000157827,ENSG00000146247,ENSG00000089820,ENSG00000077549,ENSG00000163069,ENSG00000136238,ENSG00000171634,ENSG00000151914,ENSG00000099204,ENSG00000172757","THY1,PRPF40A,FMNL2,PHIP,ARHGAP4,CAPZB,SGCB,RAC1,BPTF,DST,ABLIM1,CFL1",biological_process,cytoskeleton organization,13,12,131,13.6355577068,7.64409315964,included,iPSC
GO:0007050,"ENSG00000115241,ENSG00000005483,ENSG00000134982,ENSG00000110321,ENSG00000111653,ENSG00000134058,ENSG00000166333,ENSG00000138376,ENSG00000106992,ENSG00000074319,ENSG00000151914,ENSG00000151465,ENSG00000170515,ENSG00000095002","PPM1G,KMT2E,APC,EIF4G2,ING4,CDK7,ILK,BARD1,AK1,TSG101,DST,CDC123,PA2G4,MSH2",biological_process,cell cycle arrest,16,14,132,13.3610679031,7.36960335601,included,iPSC
GO:0043161,"ENSG00000100387,ENSG00000078304,ENSG00000113851,ENSG00000081154,ENSG00000087191,ENSG00000100804,ENSG00000070010,ENSG00000197111,ENSG00000119048,ENSG00000066427,ENSG00000162191","RBX1,PPP2R5C,CRBN,PCNP,PSMC5,PSMB5,UFD1L,PCBP2,UBE2B,ATXN3,UBXN1",biological_process,proteasomal ubiquitin-dependent protein catabolic process,12,11,63,12.5854345183,6.59396997114,included,iPSC
GO:0007186,"ENSG00000213465,ENSG00000174021,ENSG00000138175,ENSG00000143761,ENSG00000143933,ENSG00000162188,ENSG00000152700,ENSG00000186469,ENSG00000168374,ENSG00000079332,ENSG00000162604","ARL2,GNG5,ARL3,ARF1,CALM2,GNG3,SAR1B,GNG2,ARF4,SAR1A,TM2D1",biological_process,G-protein coupled receptor signaling pathway,12,11,1079,12.5854345183,6.59396997114,included,iPSC
GO:0030163,"ENSG00000100387,ENSG00000087191,ENSG00000131238,ENSG00000161057,ENSG00000100764,ENSG00000100519,ENSG00000165916,ENSG00000136758,ENSG00000118939,ENSG00000144034","RBX1,PSMC5,PPT1,PSMC2,PSMC1,PSMC6,PSMC3,YME1L1,UCHL3,TPRKB",biological_process,protein catabolic process,11,10,45,11.5355173412,5.54405279411,included,iPSC
GO:0007507,"ENSG00000116161,ENSG00000075142,ENSG00000163939,ENSG00000164305,ENSG00000253729,ENSG00000100393,ENSG00000114126,ENSG00000117054,ENSG00000163904,ENSG00000154639","CACYBP,SRI,PBRM1,CASP3,PRKDC,EP300,TFDP2,ACADM,SENP2,CXADR",biological_process,heart development,11,10,190,11.5355173412,5.54405279411,included,iPSC
GO:0030968,"ENSG00000070669,ENSG00000138674,ENSG00000159720,ENSG00000166598,ENSG00000134001,ENSG00000182934,ENSG00000055332,ENSG00000204843,ENSG00000143870,ENSG00000128272","ASNS,SEC31A,ATP6V0D1,HSP90B1,EIF2S1,SRPR,EIF2AK2,DCTN1,PDIA6,ATF4",biological_process,endoplasmic reticulum unfolded protein response,11,10,87,11.5355173412,5.54405279411,included,iPSC
GO:0016197,"ENSG00000170315,ENSG00000160948,ENSG00000162961,ENSG00000009844,ENSG00000136051,ENSG00000221983,ENSG00000074319,ENSG00000143947,ENSG00000086065,ENSG00000136738","UBB,VPS28,DPY30,VTA1,KIAA1033,UBA52,TSG101,RPS27A,CHMP5,STAM",biological_process,endosomal transport,11,10,60,11.5355173412,5.54405279411,included,iPSC
GO:0016055,"ENSG00000113712,ENSG00000166477,ENSG00000213977,ENSG00000082701,ENSG00000140395,ENSG00000134982,ENSG00000204435,ENSG00000117899,ENSG00000163904,ENSG00000101266","CSNK1A1,LEO1,TAX1BP3,GSK3B,WDR61,APC,CSNK2B,MESDC2,SENP2,CSNK2A1",biological_process,Wnt receptor signaling pathway,11,10,171,11.5355173412,5.54405279411,included,iPSC
GO:0014070,"ENSG00000149485,ENSG00000075239,ENSG00000100348,ENSG00000138413,ENSG00000126067,ENSG00000112972,ENSG00000129559,ENSG00000044115,ENSG00000257365,ENSG00000255526","FADS1,ACAT1,TXN2,IDH1,PSMB2,HMGCS1,NEDD8,CTNNA1,FNTB,NEDD8-MDP1",biological_process,response to organic cyclic compound,11,10,109,11.5355173412,5.54405279411,included,iPSC
GO:0010033,"ENSG00000104763,ENSG00000094631,ENSG00000102265,ENSG00000149485,ENSG00000164111,ENSG00000104549,ENSG00000073050,ENSG00000149269,ENSG00000108518","ASAH1,HDAC6,TIMP1,FADS1,ANXA5,SQLE,XRCC1,PAK1,PFN1",biological_process,response to organic substance,10,9,79,10.4858060876,4.4943415405,included,iPSC
GO:0051028,"ENSG00000204764,ENSG00000153201,ENSG00000102900,ENSG00000169062,ENSG00000138757,ENSG00000163904,ENSG00000112531,ENSG00000136243,ENSG00000135486","RANBP17,RANBP2,NUP93,UPF3A,G3BP2,SENP2,QKI,NUPL2,HNRNPA1",biological_process,mRNA transport,10,9,58,10.4858060876,4.4943415405,included,iPSC
GO:0006112,"ENSG00000166562,ENSG00000114902,ENSG00000174021,ENSG00000131473,ENSG00000151729,ENSG00000108788,ENSG00000162188,ENSG00000140612,ENSG00000186469,ENSG00000177156,ENSG00000005022","SEC11C,SPCS1,GNG5,ACLY,SLC25A4,MLX,GNG3,SEC11A,GNG2,TALDO1,SLC25A5",biological_process,energy reserve metabolic process,13,11,116,10.410539139,4.41907459192,included,iPSC
GO:0006644,"ENSG00000197746,ENSG00000101558,ENSG00000167468,ENSG00000133027,ENSG00000102393,ENSG00000084754,ENSG00000180957,ENSG00000116906,ENSG00000143761,ENSG00000104763","PSAP,VAPA,GPX4,PEMT,GLA,HADHA,PITPNB,GNPAT,ARF1,ASAH1",biological_process,phospholipid metabolic process,12,10,260,9.437454515,3.44598996789,included,iPSC
GO:0006919,"ENSG00000147601,ENSG00000184047,ENSG00000204628,ENSG00000115541,ENSG00000149273,ENSG00000166681,ENSG00000144381,ENSG00000185088","TERF1,DIABLO,GNB2L1,HSPE1,RPS3,NGFRAP1,HSPD1,RPS27L",biological_process,activation of cysteine-type endopeptidase activity involved in apoptotic process,9,8,88,9.43630066938,3.44483612227,included,iPSC
GO:0070979,"ENSG00000119048,ENSG00000141552,ENSG00000094880,ENSG00000176386,ENSG00000089053,ENSG00000185651,ENSG00000077152,ENSG00000170035","UBE2B,ANAPC11,CDC23,CDC26,ANAPC5,UBE2L3,UBE2T,UBE2E3",biological_process,protein K11-linked ubiquitination,9,8,26,9.43630066938,3.44483612227,included,iPSC
GO:0051865,"ENSG00000082996,ENSG00000080802,ENSG00000119048,ENSG00000108395,ENSG00000198862,ENSG00000163743,ENSG00000077152","RNF13,CNOT4,UBE2B,TRIM37,LTN1,RCHY1,UBE2T",biological_process,protein autoubiquitination,8,7,34,8.38700099852,2.39553645141,included,iPSC
GO:0008543,"ENSG00000170315,ENSG00000082701,ENSG00000221983,ENSG00000143933,ENSG00000172500,ENSG00000177885,ENSG00000143947","UBB,GSK3B,UBA52,CALM2,FIBP,GRB2,RPS27A",biological_process,fibroblast growth factor receptor signaling pathway,8,7,122,8.38700099852,2.39553645141,included,iPSC
GO:0007018,"ENSG00000139116,ENSG00000167552,ENSG00000131966,ENSG00000125971,ENSG00000130294,ENSG00000068796,ENSG00000077380","KIF21A,TUBA1A,ACTR10,DYNLRB1,KIF1A,KIF2A,DYNC1I2",biological_process,microtubule-based movement,8,7,109,8.38700099852,2.39553645141,included,iPSC
GO:0006890,"ENSG00000095139,ENSG00000111481,ENSG00000092108,ENSG00000122218,ENSG00000184432,ENSG00000143761,ENSG00000129083","ARCN1,COPZ1,SCFD1,COPA,COPB2,ARF1,COPB1",biological_process,"retrograde vesicle-mediated transport, Golgi to ER",8,7,29,8.38700099852,2.39553645141,included,iPSC
GO:0006914,"ENSG00000116288,ENSG00000102710,ENSG00000062716,ENSG00000103194,ENSG00000170296,ENSG00000145782,ENSG00000168397,ENSG00000034713","PARK7,SUPT20H,VMP1,USP10,GABARAP,ATG12,ATG4B,GABARAPL2",biological_process,autophagy,10,8,67,7.51219768939,1.52073314228,included,iPSC
GO:0051260,"ENSG00000214253,ENSG00000100380,ENSG00000113657,ENSG00000075239,ENSG00000147601,ENSG00000067715,ENSG00000147274,ENSG00000163104","FIS1,ST13,DPYSL3,ACAT1,TERF1,SYT1,RBMX,SMARCAD1",biological_process,protein homooligomerization,10,8,161,7.51219768939,1.52073314228,included,iPSC
GO:0030308,"ENSG00000115310,ENSG00000186010,ENSG00000172113,ENSG00000204628,ENSG00000131238,ENSG00000167085,ENSG00000215301,ENSG00000074800","RTN4,NDUFA13,NME6,GNB2L1,PPT1,PHB,DDX3X,ENO1",biological_process,negative regulation of cell growth,10,8,130,7.51219768939,1.52073314228,included,iPSC
GO:0043966,"ENSG00000120656,ENSG00000111653,ENSG00000085231,ENSG00000148229,ENSG00000151332,ENSG00000176476","TAF12,ING4,TAF9,POLE3,MBIP,CCDC101",biological_process,histone H3 acetylation,7,6,42,7.33790698712,1.34644244001,included,iPSC
GO:0001764,"ENSG00000108953,ENSG00000133026,ENSG00000007168,ENSG00000080824,ENSG00000077097,ENSG00000164885","YWHAE,MYH10,PAFAH1B1,HSP90AA1,TOP2B,CDK5",biological_process,neuron migration,7,6,102,7.33790698712,1.34644244001,included,iPSC
GO:0042274,"ENSG00000233927,ENSG00000137154,ENSG00000171858,ENSG00000105193,ENSG00000171863,ENSG00000105372","RPS28,RPS6,RPS21,RPS16,RPS7,RPS19",biological_process,ribosomal small subunit biogenesis,7,6,13,7.33790698712,1.34644244001,included,iPSC
GO:0051056,"ENSG00000067560,ENSG00000089820,ENSG00000070831,ENSG00000136238,ENSG00000057608,ENSG00000138757","RHOA,ARHGAP4,CDC42,RAC1,GDI2,G3BP2",biological_process,regulation of small GTPase mediated signal transduction,7,6,180,7.33790698712,1.34644244001,included,iPSC
GO:0006891,"ENSG00000129083,ENSG00000111481,ENSG00000184432,ENSG00000134265,ENSG00000034713,ENSG00000108587","COPB1,COPZ1,COPB2,NAPG,GABARAPL2,GOSR1",biological_process,intra-Golgi vesicle-mediated transport,7,6,17,7.33790698712,1.34644244001,included,iPSC
GO:0000910,"ENSG00000125354,ENSG00000103769,ENSG00000159140,ENSG00000138175,ENSG00000137100,ENSG00000172757","SEPT6,RAB11A,SON,ARL3,DCTN3,CFL1",biological_process,cytokinesis,7,6,63,7.33790698712,1.34644244001,included,iPSC
GO:0048205,"ENSG00000095139,ENSG00000111481,ENSG00000122218,ENSG00000184432,ENSG00000143761,ENSG00000129083","ARCN1,COPZ1,COPA,COPB2,ARF1,COPB1",biological_process,COPI coating of Golgi vesicle,7,6,14,7.33790698712,1.34644244001,included,iPSC
GO:0051289,"ENSG00000179958,ENSG00000104325,ENSG00000178035,ENSG00000149925,ENSG00000166228,ENSG00000145439","DCTPP1,DECR1,IMPDH2,ALDOA,PCBD1,CBR4",biological_process,protein homotetramerization,7,6,49,7.33790698712,1.34644244001,included,iPSC
GO:0070936,"ENSG00000119048,ENSG00000182670,ENSG00000078140,ENSG00000077152,ENSG00000145495,ENSG00000170035","UBE2B,TTC3,UBE2K,UBE2T,MARCH6,UBE2E3",biological_process,protein K48-linked ubiquitination,7,6,43,7.33790698712,1.34644244001,included,iPSC
GO:0032088,"ENSG00000173163,ENSG00000108395,ENSG00000106052,ENSG00000187555,ENSG00000101843,ENSG00000149273","COMMD1,TRIM37,TAX1BP1,USP7,PSMD10,RPS3",biological_process,negative regulation of NF-kappaB transcription factor activity,7,6,66,7.33790698712,1.34644244001,included,iPSC
GO:0006470,"ENSG00000127947,ENSG00000115241,ENSG00000144048,ENSG00000119414,ENSG00000058272,ENSG00000172531,ENSG00000184007","PTPN12,PPM1G,DUSP11,PPP6C,PPP1R12A,PPP1CA,PTP4A2",biological_process,protein dephosphorylation,9,7,149,6.56268774278,0.571223195667,included,iPSC
GO:0006306,"ENSG00000085224,ENSG00000066651,ENSG00000181090,ENSG00000005483,ENSG00000130816","ATRX,TRMT11,EHMT1,KMT2E,DNMT1",biological_process,DNA methylation,6,5,28,6.28901854734,0.297554000236,included,iPSC
GO:0043968,"ENSG00000175792,ENSG00000112983,ENSG00000183207,ENSG00000185787,ENSG00000071243","RUVBL1,BRD8,RUVBL2,MORF4L1,ING3",biological_process,histone H2A acetylation,6,5,13,6.28901854734,0.297554000236,included,iPSC
GO:0050796,"ENSG00000166562,ENSG00000114902,ENSG00000005022,ENSG00000140612,ENSG00000151729","SEC11C,SPCS1,SLC25A5,SEC11A,SLC25A4",biological_process,regulation of insulin secretion,6,5,88,6.28901854734,0.297554000236,included,iPSC
GO:0007160,"ENSG00000166333,ENSG00000127990,ENSG00000164885,ENSG00000136238,ENSG00000067560","ILK,SGCE,CDK5,RAC1,RHOA",biological_process,cell-matrix adhesion,6,5,85,6.28901854734,0.297554000236,included,iPSC
GO:0007243,"ENSG00000096063,ENSG00000215301,ENSG00000101109,ENSG00000071054,ENSG00000012983","SRPK1,DDX3X,STK4,MAP4K4,MAP4K5",biological_process,intracellular protein kinase cascade,6,5,100,6.28901854734,0.297554000236,included,iPSC
GO:0007265,"ENSG00000148484,ENSG00000138592,ENSG00000145907,ENSG00000177885,ENSG00000138757","RSU1,USP8,G3BP1,GRB2,G3BP2",biological_process,Ras protein signal transduction,6,5,81,6.28901854734,0.297554000236,included,iPSC
GO:0009791,"ENSG00000204120,ENSG00000117054,ENSG00000116957,ENSG00000159256,ENSG00000100201","GIGYF2,ACADM,TBCE,MORC3,DDX17",biological_process,post-embryonic development,6,5,87,6.28901854734,0.297554000236,included,iPSC
GO:0007163,"ENSG00000074054,ENSG00000138071,ENSG00000082701,ENSG00000070831,ENSG00000044115,ENSG00000163539","CLASP1,ACTR2,GSK3B,CDC42,CTNNA1,CLASP2",biological_process,establishment or maintenance of cell polarity,8,6,24,5.62443064742,-0.367033899685,included,iPSC
GO:0000902,"ENSG00000101109,ENSG00000113013,ENSG00000067560,ENSG00000109971","STK4,HSPA9,RHOA,HSPA8",biological_process,cell morphogenesis,5,4,99,5.24033559139,-0.751128955716,included,iPSC
GO:0060765,"ENSG00000108654,ENSG00000116288,ENSG00000100393,ENSG00000094631","DDX5,PARK7,EP300,HDAC6",biological_process,regulation of androgen receptor signaling pathway,5,4,11,5.24033559139,-0.751128955716,included,iPSC
GO:0008104,"ENSG00000129559,ENSG00000181163,ENSG00000255526,ENSG00000112514","NEDD8,NPM1,NEDD8-MDP1,CUTA",biological_process,protein localization,5,4,67,5.24033559139,-0.751128955716,included,iPSC
GO:0032784,"ENSG00000123297,ENSG00000102241,ENSG00000162664,ENSG00000187735","TSFM,HTATSF1,ZNF326,TCEA1",biological_process,"regulation of DNA-dependent transcription, elongation",5,4,15,5.24033559139,-0.751128955716,included,iPSC
GO:0046474,"ENSG00000084754,ENSG00000180957,ENSG00000116906,ENSG00000133027","HADHA,PITPNB,GNPAT,PEMT",biological_process,glycerophospholipid biosynthetic process,5,4,112,5.24033559139,-0.751128955716,included,iPSC
GO:0001501,"ENSG00000117450,ENSG00000147155,ENSG00000070010,ENSG00000182718","PRDX1,EBP,UFD1L,ANXA2",biological_process,skeletal system development,5,4,152,5.24033559139,-0.751128955716,included,iPSC
GO:0008089,"ENSG00000177879,ENSG00000130294,ENSG00000135441,ENSG00000185009","AP3S1,KIF1A,BLOC1S1,AP3M1",biological_process,anterograde axon cargo transport,5,4,22,5.24033559139,-0.751128955716,included,iPSC
GO:0031532,"ENSG00000143776,ENSG00000154639,ENSG00000149269,ENSG00000151422","CDC42BPA,CXADR,PAK1,FER",biological_process,actin cytoskeleton reorganization,5,4,38,5.24033559139,-0.751128955716,included,iPSC
GO:0031295,"ENSG00000136238,ENSG00000070831,ENSG00000177885,ENSG00000149269","RAC1,CDC42,GRB2,PAK1",biological_process,T cell costimulation,5,4,112,5.24033559139,-0.751128955716,included,iPSC
GO:0006749,"ENSG00000170899,ENSG00000084207,ENSG00000198431,ENSG00000138413","GSTA4,GSTP1,TXNRD1,IDH1",biological_process,glutathione metabolic process,5,4,38,5.24033559139,-0.751128955716,included,iPSC
GO:0009966,"ENSG00000166333,ENSG00000184203,ENSG00000121989,ENSG00000089289","ILK,PPP1R2,ACVR2A,IGBP1",biological_process,regulation of signal transduction,5,4,31,5.24033559139,-0.751128955716,included,iPSC
GO:0008654,"ENSG00000111897,ENSG00000097033,ENSG00000116906,ENSG00000149485","SERINC1,SH3GLB1,GNPAT,FADS1",biological_process,phospholipid biosynthetic process,5,4,36,5.24033559139,-0.751128955716,included,iPSC
GO:0000045,"ENSG00000168397,ENSG00000170296,ENSG00000034713,ENSG00000145782","ATG4B,GABARAP,GABARAPL2,ATG12",biological_process,autophagic vacuole assembly,5,4,31,5.24033559139,-0.751128955716,included,iPSC
