,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value,modality,phenotype
GO:0000122,"ENSG00000196235,ENSG00000120798,ENSG00000141002,ENSG00000101040,ENSG00000196233,ENSG00000197323,ENSG00000141027,ENSG00000198625,ENSG00000181090,ENSG00000168734,ENSG00000171634,ENSG00000197372,ENSG00000171720,ENSG00000033800","SUPT5H,NR2C1,TCF25,ZMYND8,LCOR,TRIM33,NCOR1,MDM4,EHMT1,PKIG,BPTF,ZNF675,HDAC3,PIAS1",biological_process,negative regulation of transcription from RNA polymerase II promoter,27,14,571,7.8502609425,2.76266460727,bimodal,iPSC
GO:0006915,"ENSG00000197223,ENSG00000149269,ENSG00000114446,ENSG00000108848,ENSG00000110801,ENSG00000126858,ENSG00000003756,ENSG00000158019,ENSG00000198625,ENSG00000137776,ENSG00000114416,ENSG00000106052,ENSG00000157500,ENSG00000170633,ENSG00000185627,ENSG00000100813,ENSG00000111653,ENSG00000134982,ENSG00000164885,ENSG00000184047,ENSG00000197694,ENSG00000116001,ENSG00000115561,ENSG00000162604","C1D,PAK1,IFT57,LUC7L3,PSMD9,RHOT1,RBM5,BRE,MDM4,SLTM,FXR1,TAX1BP1,APPL1,RNF34,PSMD13,ACIN1,ING4,APC,CDK5,DIABLO,SPTAN1,TIA1,CHMP3,TM2D1",biological_process,apoptotic process,56,24,771,7.62895344294,2.54135710771,bimodal,iPSC
GO:0008285,"ENSG00000003756,ENSG00000111653,ENSG00000198625,ENSG00000055332,ENSG00000134982,ENSG00000074319,ENSG00000100532,ENSG00000136754,ENSG00000140105","RBM5,ING4,MDM4,EIF2AK2,APC,TSG101,CGRRF1,ABI1,WARS",biological_process,negative regulation of cell proliferation,15,9,409,7.53200558957,2.44440925434,bimodal,iPSC
GO:0007155,"ENSG00000134982,ENSG00000149557,ENSG00000081870,ENSG00000151422","APC,FEZ1,HSPB11,FER",biological_process,cell adhesion,5,4,494,7.15055558857,2.06295925333,bimodal,iPSC
GO:0007018,"ENSG00000126777,ENSG00000074935,ENSG00000139116,ENSG00000077380","KTN1,TUBE1,KIF21A,DYNC1I2",biological_process,microtubule-based movement,5,4,109,7.15055558857,2.06295925333,bimodal,iPSC
GO:0009791,"ENSG00000087460,ENSG00000117054,ENSG00000204120,ENSG00000159256","GNAS,ACADM,GIGYF2,MORC3",biological_process,post-embryonic development,5,4,87,7.15055558857,2.06295925333,bimodal,iPSC
GO:0008299,"ENSG00000113161,ENSG00000160752,ENSG00000067064,ENSG00000152904","HMGCR,FDPS,IDI1,GGPS1",biological_process,isoprenoid biosynthetic process,5,4,15,7.15055558857,2.06295925333,bimodal,iPSC
GO:0034453,"ENSG00000078674,ENSG00000166037,ENSG00000074054,ENSG00000163539","PCM1,CEP57,CLASP1,CLASP2",biological_process,microtubule anchoring,5,4,11,7.15055558857,2.06295925333,bimodal,iPSC
GO:0032088,"ENSG00000197372,ENSG00000106052,ENSG00000160310,ENSG00000108395","ZNF675,TAX1BP1,PRMT2,TRIM37",biological_process,negative regulation of NF-kappaB transcription factor activity,5,4,66,7.15055558857,2.06295925333,bimodal,iPSC
GO:0030182,"ENSG00000164885,ENSG00000053438,ENSG00000102038,ENSG00000104177","CDK5,NNAT,SMARCA1,MYEF2",biological_process,neuron differentiation,5,4,115,7.15055558857,2.06295925333,bimodal,iPSC
GO:0030218,"ENSG00000113658,ENSG00000100813,ENSG00000160199,ENSG00000005483","SMAD5,ACIN1,PKNOX1,KMT2E",biological_process,erythrocyte differentiation,5,4,48,7.15055558857,2.06295925333,bimodal,iPSC
GO:0031532,"ENSG00000143776,ENSG00000196396,ENSG00000149269,ENSG00000151422","CDC42BPA,PTPN1,PAK1,FER",biological_process,actin cytoskeleton reorganization,5,4,38,7.15055558857,2.06295925333,bimodal,iPSC
GO:0007186,"ENSG00000186469,ENSG00000087460,ENSG00000152700,ENSG00000162604","GNG2,GNAS,SAR1B,TM2D1",biological_process,G-protein coupled receptor signaling pathway,5,4,1079,7.15055558857,2.06295925333,bimodal,iPSC
GO:0006306,"ENSG00000087460,ENSG00000181090,ENSG00000005483,ENSG00000085224","GNAS,EHMT1,KMT2E,ATRX",biological_process,DNA methylation,5,4,28,7.15055558857,2.06295925333,bimodal,iPSC
GO:0045087,"ENSG00000241258,ENSG00000052723,ENSG00000197111,ENSG00000115966,ENSG00000106052,ENSG00000136560","CRCP,SIKE1,PCBP2,ATF2,TAX1BP1,TANK",biological_process,innate immune response,9,6,382,6.90152265539,1.81392632016,bimodal,iPSC
GO:0051260,"ENSG00000168958,ENSG00000008294,ENSG00000067715,ENSG00000110906,ENSG00000166037,ENSG00000163104","MFF,SPAG9,SYT1,KCTD10,CEP57,SMARCAD1",biological_process,protein homooligomerization,9,6,161,6.90152265539,1.81392632016,bimodal,iPSC
GO:0007163,"ENSG00000112186,ENSG00000163539,ENSG00000082701,ENSG00000074054,ENSG00000127603","CAP2,CLASP2,GSK3B,CLASP1,MACF1",biological_process,establishment or maintenance of cell polarity,7,5,24,6.86674085869,1.77914452345,bimodal,iPSC
GO:0016579,"ENSG00000077254,ENSG00000138592,ENSG00000114374,ENSG00000116750,ENSG00000124356","USP33,USP8,USP9Y,UCHL5,STAMBP",biological_process,protein deubiquitination,7,5,34,6.86674085869,1.77914452345,bimodal,iPSC
GO:0006950,"ENSG00000108848,ENSG00000081870,ENSG00000071054,ENSG00000082701,ENSG00000100532","LUC7L3,HSPB11,MAP4K4,GSK3B,CGRRF1",biological_process,response to stress,7,5,165,6.86674085869,1.77914452345,bimodal,iPSC
GO:0007283,"ENSG00000114374,ENSG00000033800,ENSG00000204463,ENSG00000008294,ENSG00000204256,ENSG00000121989,ENSG00000075151,ENSG00000101079,ENSG00000131773","USP9Y,PIAS1,BAG6,SPAG9,BRD2,ACVR2A,EIF4G3,NDRG3,KHDRBS3",biological_process,spermatogenesis,16,9,367,6.79080399279,1.70320765756,bimodal,iPSC
GO:0008284,"ENSG00000151422,ENSG00000185630,ENSG00000124356,ENSG00000133703,ENSG00000198625,ENSG00000129518,ENSG00000187109,ENSG00000113161,ENSG00000095059,ENSG00000077721","FER,PBX1,STAMBP,KRAS,MDM4,EAPP,NAP1L1,HMGCR,DHPS,UBE2A",biological_process,positive regulation of cell proliferation,19,10,455,6.48176106002,1.39416472479,bimodal,iPSC
GO:0015031,"ENSG00000138674,ENSG00000180398,ENSG00000133703,ENSG00000155366,ENSG00000105669,ENSG00000116521,ENSG00000074319,ENSG00000168172,ENSG00000126777,ENSG00000115561,ENSG00000053501,ENSG00000249884,ENSG00000168397,ENSG00000126858,ENSG00000157349","SEC31A,MCFD2,KRAS,RHOC,COPE,SCAMP3,TSG101,HOOK3,KTN1,CHMP3,USE1,RNF103-CHMP3,ATG4B,RHOT1,DDX19B",biological_process,protein transport,33,15,517,6.3355188822,1.24792254697,bimodal,iPSC
GO:0006508,"ENSG00000166562,ENSG00000078618,ENSG00000124356,ENSG00000255439,ENSG00000102910,ENSG00000148950,ENSG00000168397","SEC11C,NRD1,STAMBP,RP11-196G11.1,LONP2,IMMP1L,ATG4B",biological_process,proteolysis,12,7,537,6.19479755374,1.10720121851,bimodal,iPSC
GO:0043687,"ENSG00000138674,ENSG00000180398,ENSG00000167397,ENSG00000185808,ENSG00000152700,ENSG00000095059,ENSG00000101901","SEC31A,MCFD2,VKORC1,PIGP,SAR1B,DHPS,ALG13",biological_process,post-translational protein modification,12,7,192,6.19479755374,1.10720121851,bimodal,iPSC
GO:0008286,"ENSG00000196396,ENSG00000117461,ENSG00000133703,ENSG00000132670,ENSG00000047249,ENSG00000033627,ENSG00000157500","PTPN1,PIK3R3,KRAS,PTPRA,ATP6V1H,ATP6V0A1,APPL1",biological_process,insulin receptor signaling pathway,12,7,159,6.19479755374,1.10720121851,bimodal,iPSC
GO:0000086,"ENSG00000074054,ENSG00000078674,ENSG00000175216,ENSG00000128989,ENSG00000138107,ENSG00000153575,ENSG00000166037,ENSG00000077380","CLASP1,PCM1,CKAP5,ARPP19,ACTR1A,TUBGCP5,CEP57,DYNC1I2",biological_process,G2/M transition of mitotic cell cycle,15,8,126,5.80566897593,0.718072640699,bimodal,iPSC
GO:0008283,"ENSG00000078618,ENSG00000013441,ENSG00000133027,ENSG00000217555,ENSG00000198431,ENSG00000198625,ENSG00000186469,ENSG00000138592,ENSG00000157500,ENSG00000164885,ENSG00000151422","NRD1,CLK1,PEMT,CKLF,TXNRD1,MDM4,GNG2,USP8,APPL1,CDK5,FER",biological_process,cell proliferation,23,11,373,5.78033448387,0.692738148638,bimodal,iPSC
GO:0042384,"ENSG00000173226,ENSG00000078674,ENSG00000140463,ENSG00000214413,ENSG00000135541","IQCB1,PCM1,BBS4,BBIP1,AHI1",biological_process,cilium assembly,8,5,71,5.70742012479,0.619823789556,bimodal,iPSC
GO:0055114,"ENSG00000147383,ENSG00000139697,ENSG00000126432,ENSG00000129596,ENSG00000198431,ENSG00000100823,ENSG00000117054,ENSG00000106853,ENSG00000106605,ENSG00000113161,ENSG00000136247,ENSG00000052802,ENSG00000101365","NSDHL,SBNO1,PRDX5,CDO1,TXNRD1,APEX1,ACADM,PTGR1,BLVRA,HMGCR,ZDHHC4,MSMO1,IDH3B",biological_process,oxidation-reduction process,29,13,525,5.6280152366,0.540418901369,bimodal,iPSC
GO:0018105,"ENSG00000164885,ENSG00000013441,ENSG00000159256,ENSG00000082701","CDK5,CLK1,MORC3,GSK3B",biological_process,peptidyl-serine phosphorylation,6,4,63,5.58026660099,0.492670265757,bimodal,iPSC
GO:0006914,"ENSG00000168397,ENSG00000144848,ENSG00000137942,ENSG00000102710","ATG4B,ATG3,FNBP1L,SUPT20H",biological_process,autophagy,6,4,67,5.58026660099,0.492670265757,bimodal,iPSC
GO:0051607,"ENSG00000055332,ENSG00000241258,ENSG00000142166,ENSG00000197111","EIF2AK2,CRCP,IFNAR1,PCBP2",biological_process,defense response to virus,6,4,150,5.58026660099,0.492670265757,bimodal,iPSC
GO:0000236,"ENSG00000182628,ENSG00000074054,ENSG00000175216,ENSG00000163539","SKA2,CLASP1,CKAP5,CLASP2",biological_process,mitotic prometaphase,6,4,88,5.58026660099,0.492670265757,bimodal,iPSC
GO:0006644,"ENSG00000117461,ENSG00000087053,ENSG00000204310,ENSG00000133027","PIK3R3,MTMR2,AGPAT1,PEMT",biological_process,phospholipid metabolic process,6,4,260,5.58026660099,0.492670265757,bimodal,iPSC
GO:0007265,"ENSG00000148484,ENSG00000138592,ENSG00000133703,ENSG00000108061","RSU1,USP8,KRAS,SHOC2",biological_process,Ras protein signal transduction,6,4,81,5.58026660099,0.492670265757,bimodal,iPSC
GO:0000087,"ENSG00000182628,ENSG00000074054,ENSG00000175216,ENSG00000163539","SKA2,CLASP1,CKAP5,CLASP2",biological_process,M phase of mitotic cell cycle,6,4,98,5.58026660099,0.492670265757,bimodal,iPSC
GO:0043966,"ENSG00000152382,ENSG00000111653,ENSG00000176476,ENSG00000151332","TADA1,ING4,CCDC101,MBIP",biological_process,histone H3 acetylation,6,4,42,5.58026660099,0.492670265757,bimodal,iPSC
GO:0006338,"ENSG00000196235,ENSG00000124177,ENSG00000048649,ENSG00000171634,ENSG00000102038,ENSG00000139613,ENSG00000163104","SUPT5H,CHD6,RSF1,BPTF,SMARCA1,SMARCC2,SMARCAD1",biological_process,chromatin remodeling,13,7,64,5.47296795483,0.3853716196,bimodal,iPSC
GO:0051301,"ENSG00000047849,ENSG00000166295,ENSG00000110200,ENSG00000074054,ENSG00000175216,ENSG00000128989,ENSG00000182628,ENSG00000074319,ENSG00000141552,ENSG00000115561,ENSG00000100014,ENSG00000164885,ENSG00000163539","MAP4,ANAPC16,ANAPC15,CLASP1,CKAP5,ARPP19,SKA2,TSG101,ANAPC11,CHMP3,SPECC1L,CDK5,CLASP2",biological_process,cell division,30,13,330,5.24263312625,0.155036791013,bimodal,iPSC
GO:0000278,"ENSG00000151422,ENSG00000163539,ENSG00000185627,ENSG00000074054,ENSG00000078674,ENSG00000140455,ENSG00000110801,ENSG00000175216,ENSG00000138107,ENSG00000182628,ENSG00000153575,ENSG00000141552,ENSG00000166037,ENSG00000077380","FER,CLASP2,PSMD13,CLASP1,PCM1,USP3,PSMD9,CKAP5,ACTR1A,SKA2,TUBGCP5,ANAPC11,CEP57,DYNC1I2",biological_process,mitotic cell cycle,33,14,352,5.23241459289,0.144818257662,bimodal,iPSC
GO:0016044,"ENSG00000138674,ENSG00000105669,ENSG00000074319,ENSG00000152700,ENSG00000115561,ENSG00000136738","SEC31A,COPE,TSG101,SAR1B,CHMP3,STAM",biological_process,cellular membrane organization,11,6,100,5.14728951637,0.0596931811416,bimodal,iPSC
GO:0000226,"ENSG00000074054,ENSG00000151422,ENSG00000143776,ENSG00000140463,ENSG00000168172,ENSG00000153575","CLASP1,FER,CDC42BPA,BBS4,HOOK3,TUBGCP5",biological_process,microtubule cytoskeleton organization,11,6,76,5.14728951637,0.0596931811416,bimodal,iPSC
GO:0006470,"ENSG00000196396,ENSG00000081721,ENSG00000087053,ENSG00000132670,ENSG00000163644,ENSG00000058272","PTPN1,DUSP12,MTMR2,PTPRA,PPM1K,PPP1R12A",biological_process,protein dephosphorylation,11,6,149,5.14728951637,0.0596931811416,bimodal,iPSC
GO:0007050,"ENSG00000005483,ENSG00000111653,ENSG00000134982,ENSG00000074319,ENSG00000100532,ENSG00000127603","KMT2E,ING4,APC,TSG101,CGRRF1,MACF1",biological_process,cell cycle arrest,11,6,132,5.14728951637,0.0596931811416,bimodal,iPSC
GO:0006357,"ENSG00000196235,ENSG00000204256,ENSG00000196233,ENSG00000108946,ENSG00000141027,ENSG00000160199,ENSG00000115966,ENSG00000112983,ENSG00000173575,ENSG00000139613","SUPT5H,BRD2,LCOR,PRKAR1A,NCOR1,PKNOX1,ATF2,BRD8,CHD2,SMARCC2",biological_process,regulation of transcription from RNA polymerase II promoter,22,10,327,4.9673899215,-0.120206413731,bimodal,iPSC
GO:0006511,"ENSG00000114374,ENSG00000182670,ENSG00000204463,ENSG00000077721,ENSG00000140455,ENSG00000110801,ENSG00000077254,ENSG00000116750,ENSG00000138592,ENSG00000033178","USP9Y,TTC3,BAG6,UBE2A,USP3,PSMD9,USP33,UCHL5,USP8,UBA6",biological_process,ubiquitin-dependent protein catabolic process,22,10,196,4.9673899215,-0.120206413731,bimodal,iPSC
GO:0044267,"ENSG00000166562,ENSG00000100575,ENSG00000138674,ENSG00000180398,ENSG00000167397,ENSG00000173171,ENSG00000122026,ENSG00000204120,ENSG00000156976,ENSG00000185808,ENSG00000095059,ENSG00000089157,ENSG00000101901,ENSG00000128654,ENSG00000152700","SEC11C,TIMM9,SEC31A,MCFD2,VKORC1,MTX1,RPL21,GIGYF2,EIF4A2,PIGP,DHPS,RPLP0,ALG13,MTX2,SAR1B",biological_process,cellular protein metabolic process,37,15,438,4.91508588466,-0.172510450572,bimodal,iPSC
GO:0007173,"ENSG00000082701,ENSG00000133703,ENSG00000164615,ENSG00000108946,ENSG00000136738","GSK3B,KRAS,CAMLG,PRKAR1A,STAM",biological_process,epidermal growth factor receptor signaling pathway,9,5,135,4.83443425359,-0.253162081643,bimodal,iPSC
GO:0043161,"ENSG00000258677,ENSG00000110906,ENSG00000104343,ENSG00000197111,ENSG00000081154","RP11-463D19.2,KCTD10,UBE2W,PCBP2,PCNP",biological_process,proteasomal ubiquitin-dependent protein catabolic process,9,5,63,4.83443425359,-0.253162081643,bimodal,iPSC
GO:0006397,"ENSG00000147140,ENSG00000151657,ENSG00000131051,ENSG00000132485,ENSG00000185246,ENSG00000182004,ENSG00000108848,ENSG00000165630,ENSG00000145216,ENSG00000117569,ENSG00000153914,ENSG00000100320,ENSG00000125676,ENSG00000064607,ENSG00000100461,ENSG00000121067","NONO,KIN,RBM39,ZRANB2,PRPF39,SNRPE,LUC7L3,PRPF18,FIP1L1,PTBP2,SREK1,RBFOX2,THOC2,SUGP2,RBM23,SPOP",biological_process,mRNA processing,41,16,240,4.65425942302,-0.433336912217,bimodal,iPSC
GO:0021766,"ENSG00000164885,ENSG00000140463,ENSG00000082701,ENSG00000073050","CDK5,BBS4,GSK3B,XRCC1",biological_process,hippocampus development,7,4,42,4.54729835978,-0.540297975455,bimodal,iPSC
GO:0016311,"ENSG00000196396,ENSG00000081721,ENSG00000087053,ENSG00000132670","PTPN1,DUSP12,MTMR2,PTPRA",biological_process,dephosphorylation,7,4,116,4.54729835978,-0.540297975455,bimodal,iPSC
GO:0051297,"ENSG00000078674,ENSG00000140463,ENSG00000058272,ENSG00000175216","PCM1,BBS4,PPP1R12A,CKAP5",biological_process,centrosome organization,7,4,24,4.54729835978,-0.540297975455,bimodal,iPSC
GO:0018279,"ENSG00000180398,ENSG00000101901,ENSG00000138674,ENSG00000152700","MCFD2,ALG13,SEC31A,SAR1B",biological_process,protein N-linked glycosylation via asparagine,7,4,94,4.54729835978,-0.540297975455,bimodal,iPSC
GO:0006334,"ENSG00000204256,ENSG00000187109,ENSG00000048649,ENSG00000127483","BRD2,NAP1L1,RSF1,HP1BP3",biological_process,nucleosome assembly,7,4,162,4.54729835978,-0.540297975455,bimodal,iPSC
GO:0043065,"ENSG00000003756,ENSG00000111653,ENSG00000184047,ENSG00000029363,ENSG00000134982,ENSG00000068745","RBM5,ING4,DIABLO,BCLAF1,APC,IP6K2",biological_process,positive regulation of apoptotic process,12,6,235,4.50078080477,-0.58681553046,bimodal,iPSC
GO:0007275,"ENSG00000118482,ENSG00000006652,ENSG00000165209","PHF3,IFRD1,STRBP",biological_process,multicellular organismal development,5,3,564,4.32042272442,-0.767173610813,bimodal,iPSC
GO:0007059,"ENSG00000182628,ENSG00000148335,ENSG00000166797","SKA2,NTMT1,FAM96A",biological_process,chromosome segregation,5,3,71,4.32042272442,-0.767173610813,bimodal,iPSC
GO:0007166,"ENSG00000085063,ENSG00000112983,ENSG00000142166","CD59,BRD8,IFNAR1",biological_process,cell surface receptor signaling pathway,5,3,254,4.32042272442,-0.767173610813,bimodal,iPSC
GO:0042127,"ENSG00000100320,ENSG00000185630,ENSG00000204463","RBFOX2,PBX1,BAG6",biological_process,regulation of cell proliferation,5,3,155,4.32042272442,-0.767173610813,bimodal,iPSC
GO:0007224,"ENSG00000147383,ENSG00000100578,ENSG00000032742","NSDHL,KIAA0586,IFT88",biological_process,smoothened signaling pathway,5,3,53,4.32042272442,-0.767173610813,bimodal,iPSC
GO:0006928,"ENSG00000165209,ENSG00000136754,ENSG00000127603","STRBP,ABI1,MACF1",biological_process,cellular component movement,5,3,108,4.32042272442,-0.767173610813,bimodal,iPSC
GO:0007568,"ENSG00000198408,ENSG00000100823,ENSG00000113161","MGEA5,APEX1,HMGCR",biological_process,aging,5,3,101,4.32042272442,-0.767173610813,bimodal,iPSC
GO:0043982,"ENSG00000139620,ENSG00000025293,ENSG00000111653","KANSL2,PHF20,ING4",biological_process,histone H4-K8 acetylation,5,3,16,4.32042272442,-0.767173610813,bimodal,iPSC
