,features_of_interest_in_go_term,features_of_interest_in_go_term_gene_symbols,go_domain,go_name,n_background_in_go_term,n_features_of_interest_in_go_term,n_features_total_in_go_term,negative_log_p_value,bonferonni_corrected_negative_log_p_value,modality,phenotype
GO:0055114,"ENSG00000103415,ENSG00000197894,ENSG00000178035,ENSG00000134333,ENSG00000139180,ENSG00000067829,ENSG00000173660,ENSG00000198431,ENSG00000117054,ENSG00000110717,ENSG00000117139,ENSG00000158864,ENSG00000156467,ENSG00000087263,ENSG00000181555,ENSG00000008311,ENSG00000205758,ENSG00000115286,ENSG00000131828,ENSG00000143753","HMOX2,ADH5,IMPDH2,LDHA,NDUFA9,IDH3G,UQCRH,TXNRD1,ACADM,NDUFS8,KDM5B,NDUFS2,UQCRB,OGFOD1,SETD2,AASS,CRYZL1,NDUFS7,PDHA1,DEGS1",biological_process,oxidation-reduction process,24,20,525,15.6818153425,10.3394810905,excluded,iPSC
GO:0008285,"ENSG00000078304,ENSG00000163939,ENSG00000134982,ENSG00000111653,ENSG00000124802,ENSG00000180228,ENSG00000167085,ENSG00000136754,ENSG00000100532,ENSG00000150093,ENSG00000239672,ENSG00000162521,ENSG00000140105","PPP2R5C,PBRM1,APC,ING4,EEF1E1,PRKRA,PHB,ABI1,CGRRF1,ITGB1,NME1,RBBP4,WARS",biological_process,negative regulation of cell proliferation,14,13,409,14.6984612683,9.35612701638,excluded,iPSC
GO:0016192,"ENSG00000095139,ENSG00000184432,ENSG00000122705,ENSG00000092108,ENSG00000135541,ENSG00000133318,ENSG00000141367,ENSG00000258466,ENSG00000256861,ENSG00000100568,ENSG00000125991,ENSG00000085719,ENSG00000100528,ENSG00000177879,ENSG00000079332","ARCN1,COPB2,CLTA,SCFD1,AHI1,RTN3,CLTC,RP11-1012A1.4,RP11-512M8.5,VTI1B,ERGIC3,CPNE3,CNIH1,AP3S1,SAR1A",biological_process,vesicle-mediated transport,17,15,222,14.3708063023,9.02847205033,excluded,iPSC
GO:0045087,"ENSG00000241258,ENSG00000166598,ENSG00000244687,ENSG00000221983,ENSG00000115966,ENSG00000165416,ENSG00000116489,ENSG00000096063,ENSG00000145782,ENSG00000189403,ENSG00000109332,ENSG00000198898","CRCP,HSP90B1,UBE2V1,UBA52,ATF2,SUGT1,CAPZA1,SRPK1,ATG12,HMGB1,UBE2D3,CAPZA2",biological_process,innate immune response,13,12,382,13.6450170197,8.30268276771,excluded,iPSC
GO:0006508,"ENSG00000084073,ENSG00000110429,ENSG00000144827,ENSG00000118363,ENSG00000163636,ENSG00000164305,ENSG00000196236,ENSG00000129559,ENSG00000140612,ENSG00000148950,ENSG00000121022,ENSG00000139684","ZMPSTE24,FBXO3,ABHD10,SPCS2,PSMD6,CASP3,XPNPEP3,NEDD8,SEC11A,IMMP1L,COPS5,ESD",biological_process,proteolysis,13,12,537,13.6450170197,8.30268276771,excluded,iPSC
GO:0002474,"ENSG00000256646,ENSG00000138674,ENSG00000157020,ENSG00000100804,ENSG00000106588,ENSG00000163636,ENSG00000221983,ENSG00000108294,ENSG00000127022,ENSG00000129084,ENSG00000197170","PSMA2,SEC31A,SEC13,PSMB5,PSMA2,PSMD6,UBA52,PSMB3,CANX,PSMA1,PSMD12",biological_process,antigen processing and presentation of peptide antigen via MHC class I,12,11,164,12.5921220495,7.24978779757,excluded,iPSC
GO:0030154,"ENSG00000145425,ENSG00000067560,ENSG00000173933,ENSG00000244687,ENSG00000248643,ENSG00000101079,ENSG00000114416,ENSG00000116918,ENSG00000175183,ENSG00000068796,ENSG00000105254","RPS3A,RHOA,RBM4,UBE2V1,RBM14-RBM4,NDRG3,FXR1,TSNAX,CSRP2,KIF2A,TBCB",biological_process,cell differentiation,12,11,461,12.5921220495,7.24978779757,excluded,iPSC
GO:0007420,"ENSG00000099246,ENSG00000159720,ENSG00000133026,ENSG00000075239,ENSG00000004455,ENSG00000131238,ENSG00000164258,ENSG00000138495,ENSG00000007168,ENSG00000140443,ENSG00000143156","RAB18,ATP6V0D1,MYH10,ACAT1,AK2,PPT1,NDUFS4,COX17,PAFAH1B1,IGF1R,NME7",biological_process,brain development,12,11,216,12.5921220495,7.24978779757,excluded,iPSC
GO:0007268,"ENSG00000007168,ENSG00000127914,ENSG00000143727,ENSG00000135821,ENSG00000067715,ENSG00000073969,ENSG00000143933,ENSG00000186469,ENSG00000066427,ENSG00000198668,ENSG00000134769","PAFAH1B1,AKAP9,ACP1,GLUL,SYT1,NSF,CALM2,GNG2,ATXN3,CALM1,DTNA",biological_process,synaptic transmission,12,11,409,12.5921220495,7.24978779757,excluded,iPSC
GO:0005975,"ENSG00000198791,ENSG00000067829,ENSG00000172331,ENSG00000134333,ENSG00000102393,ENSG00000198668,ENSG00000102900,ENSG00000163931,ENSG00000149925,ENSG00000143933,ENSG00000130383,ENSG00000102893,ENSG00000067225","CNOT7,IDH3G,BPGM,LDHA,GLA,CALM1,NUP93,TKT,ALDOA,CALM2,FUT5,PHKB,PKM",biological_process,carbohydrate metabolic process,15,13,415,12.3839080447,7.0415737927,excluded,iPSC
GO:0007411,"ENSG00000067560,ENSG00000070831,ENSG00000133026,ENSG00000092841,ENSG00000166913,ENSG00000155366,ENSG00000101266,ENSG00000184009,ENSG00000141367,ENSG00000149269,ENSG00000150093,ENSG00000122705,ENSG00000131236,ENSG00000075624","RHOA,CDC42,MYH10,MYL6,YWHAB,RHOC,CSNK2A1,ACTG1,CLTC,PAK1,ITGB1,CLTA,CAP1,ACTB",biological_process,axon guidance,17,14,341,11.6297780271,6.28744377513,excluded,iPSC
GO:0006357,"ENSG00000111596,ENSG00000106245,ENSG00000154582,ENSG00000067560,ENSG00000187735,ENSG00000113387,ENSG00000073584,ENSG00000115966,ENSG00000129559,ENSG00000112983,ENSG00000124795,ENSG00000255526,ENSG00000189403,ENSG00000179222","CNOT2,BUD31,TCEB1,RHOA,TCEA1,SUB1,SMARCE1,ATF2,NEDD8,BRD8,DEK,NEDD8-MDP1,HMGB1,MAGED1",biological_process,regulation of transcription from RNA polymerase II promoter,17,14,327,11.6297780271,6.28744377513,excluded,iPSC
GO:0045892,"ENSG00000129515,ENSG00000179222,ENSG00000166913,ENSG00000117139,ENSG00000111653,ENSG00000116030,ENSG00000029363,ENSG00000123349,ENSG00000073584,ENSG00000168214,ENSG00000167085,ENSG00000100320,ENSG00000130816,ENSG00000079246,ENSG00000144161,ENSG00000083168,ENSG00000196591","SNX6,MAGED1,YWHAB,KDM5B,ING4,SUMO1,BCLAF1,PFDN5,SMARCE1,RBPJ,PHB,RBFOX2,DNMT1,XRCC5,ZC3H8,KAT6A,HDAC2",biological_process,"negative regulation of transcription, DNA-dependent",22,17,496,11.6154734503,6.27313919837,excluded,iPSC
GO:0006368,"ENSG00000134480,ENSG00000092201,ENSG00000187735,ENSG00000168002,ENSG00000125651,ENSG00000140307,ENSG00000188342,ENSG00000100142,ENSG00000082258,ENSG00000154582","CCNH,SUPT16H,TCEA1,POLR2G,GTF2F1,GTF2A2,GTF2F2,POLR2F,CCNT2,TCEB1",biological_process,transcription elongation from RNA polymerase II promoter,11,10,78,11.5397757335,6.19744148158,excluded,iPSC
GO:0019886,"ENSG00000166847,ENSG00000138674,ENSG00000157020,ENSG00000141367,ENSG00000135720,ENSG00000127022,ENSG00000204843,ENSG00000122705,ENSG00000068796,ENSG00000077380","DCTN5,SEC31A,SEC13,CLTC,DYNC1LI2,CANX,DCTN1,CLTA,KIF2A,DYNC1I2",biological_process,antigen processing and presentation of exogenous peptide antigen via MHC class II,11,10,159,11.5397757335,6.19744148158,excluded,iPSC
GO:0008152,"ENSG00000198130,ENSG00000101247,ENSG00000093144,ENSG00000075239,ENSG00000071462,ENSG00000163931,ENSG00000117054,ENSG00000126457,ENSG00000131828,ENSG00000110871","HIBCH,NDUFAF5,ECHDC1,ACAT1,WBSCR22,TKT,ACADM,PRMT1,PDHA1,COQ5",biological_process,metabolic process,11,10,486,11.5397757335,6.19744148158,excluded,iPSC
GO:0008283,"ENSG00000133027,ENSG00000133026,ENSG00000104517,ENSG00000132780,ENSG00000198431,ENSG00000185787,ENSG00000177954,ENSG00000135821,ENSG00000169139,ENSG00000100568,ENSG00000166503,ENSG00000186469,ENSG00000079246","PEMT,MYH10,UBR5,NASP,TXNRD1,MORF4L1,RPS27,GLUL,UBE2V2,VTI1B,HDGFRP3,GNG2,XRCC5",biological_process,cell proliferation,16,13,373,10.6970545862,5.35472033424,excluded,iPSC
GO:0007264,"ENSG00000099246,ENSG00000166128,ENSG00000067560,ENSG00000166913,ENSG00000120805,ENSG00000155366,ENSG00000070831,ENSG00000057608,ENSG00000138757,ENSG00000074696,ENSG00000128656,ENSG00000168385,ENSG00000079332","RAB18,RAB8B,RHOA,YWHAB,ARL1,RHOC,CDC42,GDI2,G3BP2,PTPLAD1,CHN1,SEPT2,SAR1A",biological_process,small GTPase mediated signal transduction,16,13,373,10.6970545862,5.35472033424,excluded,iPSC
GO:0007155,"ENSG00000067560,ENSG00000083457,ENSG00000092148,ENSG00000243678,ENSG00000153774,ENSG00000134982,ENSG00000011052,ENSG00000150093,ENSG00000151914","RHOA,ITGAE,HECTD1,NME1-NME2,CFDP1,APC,NME2,ITGB1,DST",biological_process,cell adhesion,10,9,494,10.4879774485,5.1456431965,excluded,iPSC
GO:0000288,"ENSG00000080802,ENSG00000198791,ENSG00000151247,ENSG00000123737,ENSG00000120699,ENSG00000130332,ENSG00000130520,ENSG00000171311,ENSG00000111596","CNOT4,CNOT7,EIF4E,EXOSC9,EXOSC8,LSM7,LSM4,EXOSC1,CNOT2",biological_process,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",10,9,65,10.4879774485,5.1456431965,excluded,iPSC
GO:0042493,"ENSG00000164924,ENSG00000129562,ENSG00000119048,ENSG00000140319,ENSG00000067560,ENSG00000198431,ENSG00000118705,ENSG00000150093,ENSG00000239672","YWHAZ,DAD1,UBE2B,SRP14,RHOA,TXNRD1,RPN2,ITGB1,NME1",biological_process,response to drug,10,9,307,10.4879774485,5.1456431965,excluded,iPSC
GO:0006464,"ENSG00000092140,ENSG00000187778,ENSG00000166532,ENSG00000092148,ENSG00000221983,ENSG00000104517,ENSG00000131238,ENSG00000129559,ENSG00000118705,ENSG00000100564,ENSG00000109332","G2E3,MCRS1,RIMKLB,HECTD1,UBA52,UBR5,PPT1,NEDD8,RPN2,PIGH,UBE2D3",biological_process,cellular protein modification process,13,11,166,10.4159070647,5.07357281276,excluded,iPSC
GO:0055085,"ENSG00000103415,ENSG00000100554,ENSG00000014824,ENSG00000159720,ENSG00000102900,ENSG00000165637,ENSG00000144136,ENSG00000196950,ENSG00000008952,ENSG00000078668,ENSG00000151914,ENSG00000121073","HMOX2,ATP6V1D,SLC30A9,ATP6V0D1,NUP93,VDAC2,SLC20A1,SLC39A10,SEC62,VDAC3,DST,SLC35B1",biological_process,transmembrane transport,15,12,723,9.7726143309,4.43028007893,excluded,iPSC
GO:0030036,"ENSG00000067560,ENSG00000133026,ENSG00000007168,ENSG00000138071,ENSG00000070831,ENSG00000110880,ENSG00000116489,ENSG00000066427,ENSG00000131236,ENSG00000198898","RHOA,MYH10,PAFAH1B1,ACTR2,CDC42,CORO1C,CAPZA1,ATXN3,CAP1,CAPZA2",biological_process,actin cytoskeleton organization,12,10,164,9.44056760905,4.09823335708,excluded,iPSC
GO:0016044,"ENSG00000095139,ENSG00000184432,ENSG00000122705,ENSG00000138674,ENSG00000157020,ENSG00000141367,ENSG00000105669,ENSG00000134644,ENSG00000221983,ENSG00000136738","ARCN1,COPB2,CLTA,SEC31A,SEC13,CLTC,COPE,PUM1,UBA52,STAM",biological_process,cellular membrane organization,12,10,100,9.44056760905,4.09823335708,excluded,iPSC
GO:0007399,"ENSG00000124177,ENSG00000270136,ENSG00000073584,ENSG00000131238,ENSG00000204843,ENSG00000066427,ENSG00000068796,ENSG00000105254","CHD6,MINOS1-NBL1,SMARCE1,PPT1,DCTN1,ATXN3,KIF2A,TBCB",biological_process,nervous system development,9,8,334,9.43672657219,4.09439232023,excluded,iPSC
GO:0008284,"ENSG00000134419,ENSG00000140443,ENSG00000114209,ENSG00000187109,ENSG00000150093,ENSG00000170889,ENSG00000196591,ENSG00000124783","RPS15A,IGF1R,PDCD10,NAP1L1,ITGB1,RPS9,HDAC2,SSR1",biological_process,positive regulation of cell proliferation,9,8,455,9.43672657219,4.09439232023,excluded,iPSC
GO:0006367,"ENSG00000077809,ENSG00000134480,ENSG00000168002,ENSG00000125651,ENSG00000140307,ENSG00000221983,ENSG00000188342,ENSG00000114126,ENSG00000100142,ENSG00000168214,ENSG00000082258,ENSG00000054118,ENSG00000109332","GTF2I,CCNH,POLR2G,GTF2F1,GTF2A2,UBA52,GTF2F2,TFDP2,POLR2F,RBPJ,CCNT2,THRAP3,UBE2D3",biological_process,transcription initiation from RNA polymerase II promoter,17,13,204,9.35407915378,4.01174490182,excluded,iPSC
GO:0048011,"ENSG00000108953,ENSG00000179222,ENSG00000067560,ENSG00000164305,ENSG00000141367,ENSG00000221983,ENSG00000166913,ENSG00000143933,ENSG00000122705,ENSG00000198668,ENSG00000196591","YWHAE,MAGED1,RHOA,CASP3,CLTC,UBA52,YWHAB,CALM2,CLTA,CALM1,HDAC2",biological_process,nerve growth factor receptor signaling pathway,14,11,226,8.85751308102,3.51517882906,excluded,iPSC
GO:0043687,"ENSG00000120697,ENSG00000138674,ENSG00000129562,ENSG00000151665,ENSG00000157020,ENSG00000185808,ENSG00000127022,ENSG00000118705,ENSG00000100564","ALG5,SEC31A,DAD1,PIGF,SEC13,PIGP,CANX,RPN2,PIGH",biological_process,post-translational protein modification,11,9,192,8.47215355439,3.12981930243,excluded,iPSC
GO:0051028,"ENSG00000120533,ENSG00000157020,ENSG00000102900,ENSG00000138757,ENSG00000111196,ENSG00000112531,ENSG00000135486","ENY2,SEC13,NUP93,G3BP2,MAGOHB,QKI,HNRNPA1",biological_process,mRNA transport,8,7,58,8.3860224838,3.04368823184,excluded,iPSC
GO:0007507,"ENSG00000075142,ENSG00000163939,ENSG00000141002,ENSG00000164305,ENSG00000138495,ENSG00000114126,ENSG00000117054","SRI,PBRM1,TCF25,CASP3,COX17,TFDP2,ACADM",biological_process,heart development,8,7,190,8.3860224838,3.04368823184,excluded,iPSC
GO:0006406,"ENSG00000151247,ENSG00000115875,ENSG00000123136,ENSG00000116754,ENSG00000112081,ENSG00000133226,ENSG00000157349","EIF4E,SRSF7,DDX39A,SRSF11,SRSF3,SRRM1,DDX19B",biological_process,mRNA export from nucleus,8,7,72,8.3860224838,3.04368823184,excluded,iPSC
GO:0000122,"ENSG00000108654,ENSG00000141002,ENSG00000139372,ENSG00000196591,ENSG00000113649,ENSG00000221983,ENSG00000140382,ENSG00000168214,ENSG00000167085,ENSG00000101040,ENSG00000130816,ENSG00000189403,ENSG00000109332","DDX5,TCF25,TDG,HDAC2,TCERG1,UBA52,HMG20A,RBPJ,PHB,ZMYND8,DNMT1,HMGB1,UBE2D3",biological_process,negative regulation of transcription from RNA polymerase II promoter,18,13,571,8.24060811189,2.89827385993,excluded,iPSC
GO:0007283,"ENSG00000076242,ENSG00000028839,ENSG00000008294,ENSG00000108384,ENSG00000086061,ENSG00000121989,ENSG00000116918,ENSG00000119048,ENSG00000101079,ENSG00000166171","MLH1,TBPL1,SPAG9,RAD51C,DNAJA1,ACVR2A,TSNAX,UBE2B,NDRG3,DPCD",biological_process,spermatogenesis,13,10,367,7.95303834575,2.61070409378,excluded,iPSC
GO:0007050,"ENSG00000005483,ENSG00000111653,ENSG00000134982,ENSG00000100532,ENSG00000151914,ENSG00000127603","KMT2E,ING4,APC,CGRRF1,DST,MACF1",biological_process,cell cycle arrest,7,6,132,7.33586456347,1.9935303115,excluded,iPSC
GO:0051056,"ENSG00000067560,ENSG00000155366,ENSG00000070831,ENSG00000057608,ENSG00000138757,ENSG00000128656","RHOA,RHOC,CDC42,GDI2,G3BP2,CHN1",biological_process,regulation of small GTPase mediated signal transduction,7,6,180,7.33586456347,1.9935303115,excluded,iPSC
GO:0006338,"ENSG00000124177,ENSG00000163939,ENSG00000073584,ENSG00000162521,ENSG00000196591,ENSG00000163104","CHD6,PBRM1,SMARCE1,RBBP4,HDAC2,SMARCAD1",biological_process,chromatin remodeling,7,6,64,7.33586456347,1.9935303115,excluded,iPSC
GO:0006626,"ENSG00000173726,ENSG00000164924,ENSG00000217930,ENSG00000150779,ENSG00000126768,ENSG00000128654","TOMM20,YWHAZ,PAM16,TIMM8B,TIMM17B,MTX2",biological_process,protein targeting to mitochondrion,7,6,53,7.33586456347,1.9935303115,excluded,iPSC
GO:0007409,"ENSG00000131711,ENSG00000133026,ENSG00000134982,ENSG00000140443,ENSG00000151914,ENSG00000075624","MAP1B,MYH10,APC,IGF1R,DST,ACTB",biological_process,axonogenesis,7,6,107,7.33586456347,1.9935303115,excluded,iPSC
GO:0006950,"ENSG00000166598,ENSG00000108848,ENSG00000133318,ENSG00000110172,ENSG00000180228,ENSG00000100532","HSP90B1,LUC7L3,RTN3,CHORDC1,PRKRA,CGRRF1",biological_process,response to stress,7,6,165,7.33586456347,1.9935303115,excluded,iPSC
GO:0016477,"ENSG00000196504,ENSG00000007168,ENSG00000143776,ENSG00000134982,ENSG00000119185,ENSG00000150093","PRPF40A,PAFAH1B1,CDC42BPA,APC,ITGB1BP1,ITGB1",biological_process,cell migration,7,6,140,7.33586456347,1.9935303115,excluded,iPSC
GO:0021766,"ENSG00000108953,ENSG00000007168,ENSG00000140463,ENSG00000011052,ENSG00000239672,ENSG00000196591","YWHAE,PAFAH1B1,BBS4,NME2,NME1,HDAC2",biological_process,hippocampus development,7,6,42,7.33586456347,1.9935303115,excluded,iPSC
GO:0007186,"ENSG00000120805,ENSG00000143933,ENSG00000186469,ENSG00000198668,ENSG00000079332,ENSG00000162604","ARL1,CALM2,GNG2,CALM1,SAR1A,TM2D1",biological_process,G-protein coupled receptor signaling pathway,7,6,1079,7.33586456347,1.9935303115,excluded,iPSC
GO:0006184,"ENSG00000099246,ENSG00000134697,ENSG00000166128,ENSG00000067560,ENSG00000120805,ENSG00000155366,ENSG00000167552,ENSG00000070831,ENSG00000079332","RAB18,GNL2,RAB8B,RHOA,ARL1,RHOC,TUBA1A,CDC42,SAR1A",biological_process,GTP catabolic process,12,9,269,7.06078216687,1.71844791491,excluded,iPSC
GO:0018279,"ENSG00000120697,ENSG00000138674,ENSG00000157020,ENSG00000127022,ENSG00000118705,ENSG00000129562,ENSG00000198856","ALG5,SEC31A,SEC13,CANX,RPN2,DAD1,OSTC",biological_process,protein N-linked glycosylation via asparagine,9,7,94,6.5610751403,1.21874088834,excluded,iPSC
GO:0016568,"ENSG00000158019,ENSG00000123562,ENSG00000140382,ENSG00000105393,ENSG00000130816,ENSG00000124795,ENSG00000163104","BRE,MORF4L2,HMG20A,BABAM1,DNMT1,DEK,SMARCAD1",biological_process,chromatin modification,9,7,124,6.5610751403,1.21874088834,excluded,iPSC
GO:0000289,"ENSG00000080802,ENSG00000198791,ENSG00000076242,ENSG00000111596,ENSG00000151247","CNOT4,CNOT7,MLH1,CNOT2,EIF4E",biological_process,nuclear-transcribed mRNA poly(A) tail shortening,6,5,32,6.28625219251,0.943917940543,excluded,iPSC
GO:0044255,"ENSG00000075239,ENSG00000079459,ENSG00000117054,ENSG00000099797,ENSG00000198431","ACAT1,FDFT1,ACADM,TECR,TXNRD1",biological_process,cellular lipid metabolic process,6,5,156,6.28625219251,0.943917940543,excluded,iPSC
GO:0016055,"ENSG00000140395,ENSG00000101266,ENSG00000134982,ENSG00000113712,ENSG00000127603","WDR61,CSNK2A1,APC,CSNK1A1,MACF1",biological_process,Wnt receptor signaling pathway,6,5,171,6.28625219251,0.943917940543,excluded,iPSC
GO:0051260,"ENSG00000075239,ENSG00000067715,ENSG00000135821,ENSG00000163104,ENSG00000008294","ACAT1,SYT1,GLUL,SMARCAD1,SPAG9",biological_process,protein homooligomerization,6,5,161,6.28625219251,0.943917940543,excluded,iPSC
GO:0007275,"ENSG00000150093,ENSG00000116918,ENSG00000175183,ENSG00000185721,ENSG00000153774","ITGB1,TSNAX,CSRP2,DRG1,CFDP1",biological_process,multicellular organismal development,6,5,564,6.28625219251,0.943917940543,excluded,iPSC
GO:0006334,"ENSG00000083168,ENSG00000205531,ENSG00000162521,ENSG00000187109,ENSG00000127483","KAT6A,NAP1L4,RBBP4,NAP1L1,HP1BP3",biological_process,nucleosome assembly,6,5,162,6.28625219251,0.943917940543,excluded,iPSC
GO:0007173,"ENSG00000166913,ENSG00000141367,ENSG00000221983,ENSG00000070831,ENSG00000143933,ENSG00000122705,ENSG00000198668,ENSG00000136738","YWHAB,CLTC,UBA52,CDC42,CALM2,CLTA,CALM1,STAM",biological_process,epidermal growth factor receptor signaling pathway,11,8,135,6.18274490256,0.840410650593,excluded,iPSC
GO:0008286,"ENSG00000100554,ENSG00000159720,ENSG00000166913,ENSG00000151247,ENSG00000140443,ENSG00000177879","ATP6V1D,ATP6V0D1,YWHAB,EIF4E,IGF1R,AP3S1",biological_process,insulin receptor signaling pathway,8,6,159,5.62191843737,0.279584185406,excluded,iPSC
